LAST SEEN   TYPE      REASON                OBJECT                                                        MESSAGE
10s         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-token-cache-composite   Stopped scalers watch
10s         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite   Scaler prometheus is built
9s          Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                        Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 2
9s          Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n              Container image "kserve/storage-initializer:v0.17.0" already present on machine
9s          Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-token-cache-composite   ScaledObject was deleted
9s          Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n              Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n to kserve-control-plane
9s          Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748             Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n
9s          Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                      Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
8s          Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n              Started container storage-initializer
8s          Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n              Created container: storage-initializer
1s          Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                        Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 2 to 1
1s          Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748             Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n
1s          Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n              Stopping container storage-initializer
