request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
brn7zsedfq,queue-pressure,pressure_peak,completions,1776123673.9202693,1776123719.920356,46000.09,46000.09,10371,0,256,0,0,
56fao72kz0,queue-pressure,queue_build,completions,1776123533.1996093,1776123578.9203832,45720.77,45720.77,12425,0,246,0,0,
93kmkzebbk,queue-pressure,queue_build,completions,1776123582.9197278,1776123628.9195328,45999.80,45999.80,13215,0,264,0,0,
odpxnf7c3d,queue-pressure,queue_build,completions,1776123633.9204016,1776123679.92136,46000.96,46000.96,12267,0,294,0,0,
f0t0pvn9er,queue-pressure,queue_build,completions,1776123524.2873602,1776123569.9200556,45632.70,45632.70,10371,0,259,0,0,
bh25llo3rb,queue-pressure,pressure_peak,completions,1776123679.9231882,1776123725.9216459,45998.46,45998.46,13847,0,309,0,0,
3d6357oonn,queue-pressure,pressure_peak,completions,1776123674.920226,1776123720.9198878,45999.66,45999.66,12741,0,229,0,0,
8vmuhxid4n,queue-pressure,queue_build,completions,1776123635.9199064,1776123681.919999,46000.09,46000.09,14005,0,205,0,0,
qacj4t0sek,queue-pressure,pressure_peak,completions,1776123675.9218168,1776123721.9205222,45998.71,45998.71,14163,0,312,0,0,
fk8ut0cvs4,queue-pressure,queue_build,completions,1776123534.011551,1776123579.9201863,45908.64,45908.64,14321,0,316,0,0,
cj883dhx8b,queue-pressure,queue_build,completions,1776123628.919834,1776123674.919989,46000.16,46000.16,11793,0,283,0,0,
3uvulemx15,queue-pressure,queue_build,completions,1776123634.9200034,1776123680.9198487,45999.85,45999.85,10213,0,287,0,0,
1n6kvpuc8d,queue-pressure,queue_build,completions,1776123584.919989,1776123630.9194348,45999.45,45999.45,13215,0,249,0,0,
ildzmfb7r3,queue-pressure,pressure_peak,completions,1776123675.9208937,1776123721.9207058,45999.81,45999.81,10055,0,287,0,0,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776123525.0971506,1776123570.9198866,45822.74,45822.74,14163,0,204,0,0,
2qc1iyyo4u,queue-pressure,queue_build,completions,1776123624.9209452,1776123670.9199305,45998.99,45998.99,14163,0,278,0,0,
