request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
ckw5ngcx19,queue-pressure,warmup,completions,1776139084.2966495,1776139264.9206295,180623.98,180623.98,15111,0,288,0,0,
c56t4ufel6,queue-pressure,queue_build,completions,1776139115.4650993,1776139295.9206812,180455.58,180455.58,9581,0,220,0,0,
56fao72kz0,queue-pressure,queue_build,completions,1776139108.9966748,1776139289.9201515,180923.48,180923.48,12425,0,246,0,0,
f0t0pvn9er,queue-pressure,queue_build,completions,1776139100.0905604,1776139280.9198098,180829.25,180829.25,10371,0,259,0,0,
awudtsemci,queue-pressure,queue_build,completions,1776139112.2327442,1776139292.9199514,180687.21,180687.21,11477,0,210,0,0,
okc1msy4la,queue-pressure,queue_build,completions,1776139118.7004018,1776139298.9201977,180219.80,180219.80,9739,0,241,0,0,
c02dgtfgq5,queue-pressure,queue_build,completions,1776139107.384865,1776139287.920451,180535.59,180535.59,13531,0,217,0,0,
fk8ut0cvs4,queue-pressure,queue_build,completions,1776139109.8088543,1776139289.9199953,180111.14,180111.14,14321,0,316,0,0,
6hid25owf7,queue-pressure,queue_build,completions,1776139116.2764997,1776139296.9206572,180644.16,180644.16,14479,0,202,0,0,
zoyn6qicat,queue-pressure,queue_build,completions,1776139104.9555616,1776139285.9207695,180965.21,180965.21,15269,0,243,0,0,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776139100.9018197,1776139280.9196374,180017.82,180017.82,14163,0,204,0,0,
ptk93tyt7d,queue-pressure,queue_build,completions,1776139113.0402482,1776139293.920113,180879.86,180879.86,11319,0,232,0,0,
h1dnmmjbqe,queue-pressure,warmup,completions,1776139079.290254,1776139259.9208062,180630.55,180630.55,11319,0,231,0,0,
g8jdp0lvsn,queue-pressure,queue_build,completions,1776139119.5118022,1776139299.9201896,180408.39,180408.39,14953,0,258,0,0,
ye511mkfaz,queue-pressure,queue_build,completions,1776139101.7143204,1776139281.9207664,180206.45,180206.45,15269,0,194,0,0,
5nq4fmyzyc,queue-pressure,warmup,completions,1776139089.3077796,1776139269.9197612,180611.98,180611.98,14795,0,251,0,0,
dpja1wj0tp,queue-pressure,queue_build,completions,1776139114.6587222,1776139294.9202645,180261.54,180261.54,11161,0,205,0,0,
39tex8fsv8,queue-pressure,queue_build,completions,1776139104.143678,1776139284.919928,180776.25,180776.25,14005,0,316,0,0,
8cgvyie6iv,queue-pressure,queue_build,completions,1776139110.6151123,1776139290.9199147,180304.80,180304.80,10529,0,206,0,0,
935a0l7253,queue-pressure,queue_build,completions,1776139117.0885468,1776139297.9202225,180831.68,180831.68,14795,0,233,0,0,
azccblskrt,queue-pressure,queue_build,completions,1776139105.7647562,1776139285.9206772,180155.92,180155.92,13215,0,248,0,0,
j60fkhmy4s,queue-pressure,queue_build,completions,1776139113.851492,1776139293.919953,180068.46,180068.46,14953,0,226,0,0,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776139099.2833924,1776139279.9219553,180638.56,180638.56,14637,0,200,0,0,
81sdw4shnf,queue-pressure,queue_build,completions,1776139102.5249088,1776139282.9199429,180395.03,180395.03,14005,0,259,0,0,
uzzpqk51fp,queue-pressure,warmup,completions,1776139074.2838693,1776139254.9220078,180638.14,180638.14,12583,0,198,0,0,
tiqj7yhl1c,queue-pressure,warmup,completions,1776139094.3172672,1776139274.922029,180604.76,180604.76,13373,0,235,0,0,
pvs7hzioyk,queue-pressure,queue_build,completions,1776139111.4247084,1776139291.9199376,180495.23,180495.23,13373,0,212,0,0,
vren93iiuc,queue-pressure,queue_build,completions,1776139103.3381014,1776139283.9198318,180581.73,180581.73,15427,0,192,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776139069.2750318,1776139249.9204519,180645.42,180645.42,13373,0,220,0,0,
34dxtad1io,queue-pressure,queue_build,completions,1776139108.1908016,1776139288.9199758,180729.17,180729.17,10055,0,305,0,0,
2d54i3qk2i,queue-pressure,queue_build,completions,1776139117.8947523,1776139297.920087,180025.33,180025.33,11161,0,232,0,0,
irodxmo5bx,queue-pressure,queue_build,completions,1776139106.5751746,1776139286.9207613,180345.59,180345.59,14005,0,313,0,0,
