LAST SEEN   TYPE      REASON                OBJECT                                                                       MESSAGE
36m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Stopped scalers watch
36m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Scaler prometheus is built
36m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 2
36m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
36m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n
36m         Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                                     Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
36m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n to kserve-control-plane
36m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  ScaledObject was deleted
36m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Started container storage-initializer
36m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Created container: storage-initializer
36m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 2 to 1
36m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Stopping container storage-initializer
36m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n
36m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9 from 1 to 0
36m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
36m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9           Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9-cmfdz
36m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
36m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9-cmfdz            Stopping container main
36m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8-fkmxb             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8-fkmxb to kserve-control-plane
36m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8            Created pod: qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8-fkmxb
36m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8 from 0 to 1
36m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8-fkmxb             Container image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0" already present on machine
36m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8-fkmxb             Started container main
36m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8-fkmxb             Created container: main
35m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-g44cp
35m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                          New size: 3; reason: cpu resource utilization (percentage of request) above target
35m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 3
35m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2
35m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp to kserve-control-plane
35m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
35m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
35m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2 to kserve-control-plane
35m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Started container storage-initializer
35m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Created container: storage-initializer
35m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Created container: storage-initializer
35m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Started container storage-initializer
35m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
35m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
35m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Started container main
35m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Created container: main
35m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Created container: main
35m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Started container main
30m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-rvvv2                             Startup probe failed: Get "http://10.244.0.84:8000/health": dial tcp 10.244.0.84:8000: connect: connection refused
29m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-g44cp                             Startup probe failed: Get "http://10.244.0.83:8000/health": dial tcp 10.244.0.83:8000: connect: connection refused
34m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 3 to 4
34m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9
34m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9 to kserve-control-plane
34m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9                             Created container: storage-initializer
34m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9                             Started container storage-initializer
34m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
34m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                          New size: 5; reason: cpu resource utilization (percentage of request) above target
8m44s       Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
34m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 4 to 5
34m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-qvc2p
34m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-qvc2p                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-qvc2p to kserve-control-plane
34m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9                             Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
9m24s       Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                                     Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
34m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-qvc2p                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
34m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jh8k9                             Started container main
