request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
brn7zsedfq,queue-pressure,pressure_peak,completions,1776124703.9199066,1776124749.9200635,46000.16,46000.16,10371,0,256,0,0,
56fao72kz0,queue-pressure,queue_build,completions,1776124563.4155684,1776124608.9214816,45505.91,45505.91,12425,0,246,0,0,
93kmkzebbk,queue-pressure,queue_build,completions,1776124612.9211113,1776124658.919622,45998.51,45998.51,13215,0,264,0,0,
y6wktakpux,queue-pressure,queue_build,completions,1776124578.920005,1776124624.9195635,45999.56,45999.56,13531,0,289,0,0,
odpxnf7c3d,queue-pressure,queue_build,completions,1776124664.9200382,1776124710.9200919,46000.05,46000.05,12267,0,294,0,0,
f0t0pvn9er,queue-pressure,queue_build,completions,1776124554.5133128,1776124599.9197013,45406.39,45406.39,10371,0,259,0,0,
3d6357oonn,queue-pressure,pressure_peak,completions,1776124704.920801,1776124750.92066,45999.86,45999.86,12741,0,229,0,0,
8vmuhxid4n,queue-pressure,queue_build,completions,1776124665.9210289,1776124711.9202433,45999.21,45999.21,14005,0,205,0,0,
fk8ut0cvs4,queue-pressure,queue_build,completions,1776124564.226342,1776124609.91994,45693.60,45693.60,14321,0,316,0,0,
ocwbfuk9e1,queue-pressure,queue_build,completions,1776124614.9202366,1776124660.920061,45999.82,45999.82,10213,0,208,0,0,
cj883dhx8b,queue-pressure,queue_build,completions,1776124658.9198413,1776124704.920611,46000.77,46000.77,11793,0,283,0,0,
1n6kvpuc8d,queue-pressure,queue_build,completions,1776124614.9212315,1776124660.9199274,45998.70,45998.70,13215,0,249,0,0,
ildzmfb7r3,queue-pressure,pressure_peak,completions,1776124705.9209404,1776124751.9201639,45999.22,45999.22,10055,0,287,0,0,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776124555.3235185,1776124600.9197853,45596.27,45596.27,14163,0,204,0,0,
ye511mkfaz,queue-pressure,queue_build,completions,1776124556.137347,1776124601.921339,45783.99,45783.99,15269,0,194,0,0,
phr62gdswm,queue-pressure,queue_build,completions,1776124583.920348,1776124629.9199708,45999.62,45999.62,12425,0,305,0,0,
u3493wxa73,queue-pressure,queue_build,completions,1776124666.920149,1776124712.919218,45999.07,45999.07,14163,0,263,0,0,
8cgvyie6iv,queue-pressure,queue_build,completions,1776124565.0325937,1776124610.9206767,45888.08,45888.08,10529,0,206,0,0,
wjcitfoyqb,queue-pressure,queue_build,completions,1776124615.920202,1776124661.9199111,45999.71,45999.71,14163,0,245,0,0,
bp2qd6vasi,queue-pressure,pressure_peak,completions,1776124706.9206264,1776124752.920521,45999.89,45999.89,11319,0,223,0,0,
yihair4cow,queue-pressure,queue_build,completions,1776124588.920102,1776124634.919567,45999.47,45999.47,14479,0,252,0,0,
j99t2d5em2,queue-pressure,queue_build,completions,1776124660.920249,1776124706.9198914,45999.64,45999.64,13215,0,192,0,0,
gzlma5uofw,queue-pressure,queue_build,completions,1776124670.9197545,1776124716.9199657,46000.21,46000.21,11161,0,199,0,0,
zqy72wx7pt,queue-pressure,queue_build,completions,1776124616.9201064,1776124662.9202821,46000.18,46000.18,11319,0,264,0,0,
cxlvpymb5m,queue-pressure,pressure_peak,completions,1776124712.9194694,1776124758.9203863,46000.92,46000.92,11477,0,218,0,0,
81sdw4shnf,queue-pressure,queue_build,completions,1776124556.947629,1776124602.9208553,45973.23,45973.23,14005,0,259,0,0,
pvs7hzioyk,queue-pressure,queue_build,completions,1776124565.841849,1776124610.9209235,45079.07,45079.07,13373,0,212,0,0,
oqw9ja2m0w,queue-pressure,pressure_peak,completions,1776124708.9201849,1776124754.9209247,46000.74,46000.74,12583,0,197,0,0,
