request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
brn7zsedfq,queue-pressure,pressure_peak,completions,1776124008.9212756,1776124054.9200857,45998.81,45998.81,10371,0,256,0,0,
56fao72kz0,queue-pressure,queue_build,completions,1776123868.0666554,1776123913.9202914,45853.64,45853.64,12425,0,246,0,0,
93kmkzebbk,queue-pressure,queue_build,completions,1776123917.9201634,1776123963.9192622,45999.10,45999.10,13215,0,264,0,0,
odpxnf7c3d,queue-pressure,queue_build,completions,1776123968.9214823,1776124014.9199247,45998.44,45998.44,12267,0,294,0,0,
e3tv1es53s,queue-pressure,pressure_peak,completions,1776124043.922026,1776124089.920446,45998.42,45998.42,12741,0,280,0,0,
f0t0pvn9er,queue-pressure,queue_build,completions,1776123859.153804,1776123904.9201202,45766.32,45766.32,10371,0,259,0,0,
3d6357oonn,queue-pressure,pressure_peak,completions,1776124009.9209669,1776124055.920551,45999.58,45999.58,12741,0,229,0,0,
bh25llo3rb,queue-pressure,pressure_peak,completions,1776124014.921253,1776124060.920052,45998.80,45998.80,13847,0,309,0,0,
w1dakrm8j5,queue-pressure,queue_build,completions,1776123918.9206975,1776123964.919939,45999.24,45999.24,15269,0,224,0,0,
8vmuhxid4n,queue-pressure,queue_build,completions,1776123970.920642,1776124016.920012,45999.37,45999.37,14005,0,205,0,0,
fk8ut0cvs4,queue-pressure,queue_build,completions,1776123868.8788319,1776123913.9201193,45041.29,45041.29,14321,0,316,0,0,
wdxvugw6m7,queue-pressure,pressure_peak,completions,1776124045.9207351,1776124091.9205322,45999.80,45999.80,13373,0,269,0,0,
92h3tv3i12,queue-pressure,queue_build,completions,1776123964.9201586,1776124010.9208481,46000.69,46000.69,11635,0,254,0,0,
ildzmfb7r3,queue-pressure,pressure_peak,completions,1776124010.9210293,1776124056.9206166,45999.59,45999.59,10055,0,287,0,0,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776123859.9643543,1776123905.9199,45955.55,45955.55,14163,0,204,0,0,
1n6kvpuc8d,queue-pressure,queue_build,completions,1776123919.9196138,1776123965.920019,46000.41,46000.41,13215,0,249,0,0,
rr7s20cv3t,queue-pressure,pressure_peak,completions,1776124016.920252,1776124062.919699,45999.45,45999.45,11635,0,239,0,0,
ye511mkfaz,queue-pressure,queue_build,completions,1776123860.776411,1776123905.9197578,45143.35,45143.35,15269,0,194,0,0,
phr62gdswm,queue-pressure,queue_build,completions,1776123888.920054,1776123934.9195564,45999.50,45999.50,12425,0,305,0,0,
u3493wxa73,queue-pressure,queue_build,completions,1776123971.9201658,1776124017.9200494,45999.88,45999.88,14163,0,263,0,0,
8cgvyie6iv,queue-pressure,queue_build,completions,1776123869.6903903,1776123914.9202797,45229.89,45229.89,10529,0,206,0,0,
wjcitfoyqb,queue-pressure,queue_build,completions,1776123920.9201107,1776123966.9198058,45999.70,45999.70,14163,0,245,0,0,
qacj4t0sek,queue-pressure,pressure_peak,completions,1776124010.9219146,1776124056.9207957,45998.88,45998.88,14163,0,312,0,0,
yihair4cow,queue-pressure,queue_build,completions,1776123893.921107,1776123939.9199758,45998.87,45998.87,14479,0,252,0,0,
j99t2d5em2,queue-pressure,queue_build,completions,1776123964.9212108,1776124010.9206975,45999.49,45999.49,13215,0,192,0,0,
gzlma5uofw,queue-pressure,queue_build,completions,1776123975.9223242,1776124021.9213107,45998.99,45998.99,11161,0,199,0,0,
zqy72wx7pt,queue-pressure,queue_build,completions,1776123921.9198172,1776123967.9202182,46000.40,46000.40,11319,0,264,0,0,
pwioxd9css,queue-pressure,pressure_peak,completions,1776124012.9206636,1776124058.920008,45999.34,45999.34,10371,0,266,0,0,
x2cyos0fb4,queue-pressure,pressure_peak,completions,1776124021.9216802,1776124067.9213955,45999.72,45999.72,12267,0,262,0,0,
81sdw4shnf,queue-pressure,queue_build,completions,1776123861.5880806,1776123906.9190807,45331.00,45331.00,14005,0,259,0,0,
w71q3vli7k,queue-pressure,queue_build,completions,1776123913.9205463,1776123959.9202094,45999.66,45999.66,13531,0,261,0,0,
pvs7hzioyk,queue-pressure,queue_build,completions,1776123870.5040853,1776123915.9200046,45415.92,45415.92,13373,0,212,0,0,
