LAST SEEN   TYPE      REASON                         OBJECT                                                                       MESSAGE
3m43s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m to kserve-control-plane
3m43s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h to kserve-control-plane
2m16s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-886847d5-dc27g              Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-886847d5-dc27g to kserve-control-plane
114s        Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-79cf44fff4-dmg8t            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-79cf44fff4-dmg8t to kserve-control-plane
3m27s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-tn5rd                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-tn5rd to kserve-control-plane
3m27s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8 to kserve-control-plane
47m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq to kserve-control-plane
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.ServiceAccount llm-demo/qwen25-0-5b-instruct-epp-sa
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
47m         Normal    ScalingReplicaSet              deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 0 to 1
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.Service llm-demo/qwen25-0-5b-instruct-kserve-workload-svc
47m         Normal    SuccessfulCreate               replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq
47m         Normal    SuccessfulCreate               replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8           Created pod: qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.Role llm-demo/qwen25-0-5b-instruct-epp-role
47m         Normal    Pulling                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Pulling image "kserve/storage-initializer:v0.17.0"
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     (combined from similar events): Created v1.HTTPRoute llm-demo/qwen25-0-5b-instruct-kserve-route
47m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv to kserve-control-plane
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
47m         Normal    ScalingReplicaSet              deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8 from 0 to 1
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.ClusterRoleBinding /llm-demo-qwen25-0-5b-instruct-epp-auth-rb
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.Service llm-demo/qwen25-0-5b-instruct-epp-service
47m         Normal    Created                        llminferenceservice/qwen25-0-5b-instruct                                     Created v1.RoleBinding llm-demo/qwen25-0-5b-instruct-epp-rb
47m         Normal    Pulling                        pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv            Pulling image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0"
46m         Normal    Pulled                         pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Successfully pulled image "kserve/storage-initializer:v0.17.0" in 17.188s (17.188s including waiting). Image size: 95055327 bytes.
46m         Normal    Created                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Created container: storage-initializer
46m         Normal    Started                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Started container storage-initializer
46m         Normal    Pulling                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Pulling image "quay.io/pierdipi/vllm-cpu:latest"
46m         Normal    ScalingReplicaSet              deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8 from 1 to 0
46m         Normal    Updated                        llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.HTTPRoute llm-demo/qwen25-0-5b-instruct-kserve-route
46m         Normal    SuccessfulDelete               replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8           Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv
46m         Normal    Created                        pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv            Created container: main
46m         Normal    Pulled                         pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv            Successfully pulled image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0" in 39.659s (56.133s including waiting). Image size: 186731299 bytes.
46m         Normal    Killing                        pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv            Stopping container main
46m         Normal    Started                        pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f84cffdd8-qhcwv            Started container main
46m         Normal    ScalingReplicaSet              deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5 from 0 to 1
46m         Normal    Updated                        llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
46m         Normal    Updated                        llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
46m         Normal    SuccessfulCreate               replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5            Created pod: qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5-h5xs7
46m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5-h5xs7             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5-h5xs7 to kserve-control-plane
46m         Normal    Pulled                         pod/qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5-h5xs7             Container image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0" already present on machine
45m         Normal    Created                        pod/qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5-h5xs7             Created container: main
45m         Normal    Started                        pod/qwen25-0-5b-instruct-kserve-router-scheduler-b8b7cffb5-h5xs7             Started container main
44m         Normal    Pulled                         pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Successfully pulled image "quay.io/pierdipi/vllm-cpu:latest" in 1m20.983s (1m32.673s including waiting). Image size: 1137349756 bytes.
44m         Normal    Created                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Created container: main
44m         Normal    Started                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Started container main
42m         Warning   Unhealthy                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-9fbpq                             Startup probe failed: Get "http://10.244.0.18:8000/health": dial tcp 10.244.0.18:8000: connect: connection refused
