request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
14ffyvnvqj,conversation-sharegpt,completions,1775835032.0758996,1775835060.2872252,28211.33,8203.86,630,453,96,200,1,
xff0t0pvn9,conversation-sharegpt,completions,1775835031.8864415,1775835060.1054163,28218.97,4612.95,792,426,96,200,1,
a753lc58dr,conversation-sharegpt,completions,1775835090.696021,1775835124.980123,34284.10,8378.30,982,319,96,200,1,
ex8fsv871y,conversation-sharegpt,completions,1775835090.8927057,1775835125.1484714,34255.77,13297.65,1049,523,96,200,1,
dxmo5bxxc0,conversation-sharegpt,completions,1775835151.4910858,1775835189.0244718,37533.39,5704.09,799,377,96,200,1,
tfgq5c34dx,conversation-sharegpt,completions,1775835151.6773462,1775835189.3060758,37628.73,8396.35,369,428,96,200,1,
ifd0tvbdiv,conversation-sharegpt,completions,1775834949.853855,1775834973.8788202,24024.97,1831.25,185,501,96,200,1,
1c32oc6uzh,conversation-sharegpt,completions,1775835002.274445,1775835032.0758193,29801.37,10804.22,1416,486,96,200,1,
d4v30t9nt3,conversation-sharegpt,completions,1775834973.878971,1775835002.074209,28195.24,3911.59,533,464,96,200,1,
blskrt05ui,conversation-sharegpt,completions,1775835125.1485693,1775835151.6772492,26528.68,7261.70,573,433,96,200,1,
zpqk51fpkh,conversation-sharegpt,completions,1775834951.2096598,1775834974.0781636,22868.50,2967.24,308,589,96,200,1,
zycwtiqj7y,conversation-sharegpt,completions,1775835002.0743303,1775835031.8862715,29811.94,2124.14,290,477,96,200,1,
ye511mkfaz,conversation-sharegpt,completions,1775835060.1056266,1775835090.695802,30590.18,6876.59,1121,426,96,200,1,
xpseimvihc,conversation-sharegpt,completions,1775835124.9803135,1775835151.4908872,26510.57,3815.43,536,420,96,200,1,
sdw4shnf87,conversation-sharegpt,completions,1775835060.2873242,1775835090.8925703,30605.25,10690.31,799,545,96,200,1,
cx1945nq4f,conversation-sharegpt,completions,1775834974.0782816,1775835002.2743273,28196.05,8297.53,685,475,96,200,1,
