LAST SEEN   TYPE      REASON                         OBJECT                                                                       MESSAGE
23m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h to kserve-control-plane
23m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m to kserve-control-plane
23m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8 to kserve-control-plane
22m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-886847d5-dc27g              Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-886847d5-dc27g to kserve-control-plane
22m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-79cf44fff4-dmg8t            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-79cf44fff4-dmg8t to kserve-control-plane
23m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-tn5rd                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-tn5rd to kserve-control-plane
33m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:20:22Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
33m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Started scalers watch
33m         Normal    ScaledObjectReady              scaledobject/qwen25-05b-instruct-keda-waiting-requests                       ScaledObject is ready for scaling
32m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:20:32Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
32m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:20:42Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
32m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:20:52Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
32m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:02Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
32m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:12Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
32m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:22Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
31m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:32Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
31m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:42Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
30m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Scaler prometheus is built
30m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/keda-hpa-qwen25-05b-instruct-keda-waiting-requests   invalid metrics (1 invalid out of 1), first error is: failed to get s0-prometheus external metric value: failed to get s0-prometheus external metric: unable to get external metric llm-demo/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen25-05b-instruct-keda-waiting-requests,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s0-prometheus encountered error
29m         Warning   FailedGetExternalMetric        horizontalpodautoscaler/keda-hpa-qwen25-05b-instruct-keda-waiting-requests   unable to get external metric llm-demo/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen25-05b-instruct-keda-waiting-requests,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s0-prometheus encountered error
29m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                       (combined from similar events): Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:24:22Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
27m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Scaler prometheus is built
27m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Started scalers watch
27m         Normal    ScaledObjectReady              scaledobject/qwen25-05b-instruct-keda-waiting-requests                       ScaledObject is ready for scaling
25m         Normal    KEDAScalersStopped             scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Stopped scalers watch
25m         Warning   ScaledObjectDeleted            scaledobject/qwen25-05b-instruct-keda-waiting-requests                       ScaledObject was deleted
23m         Normal    SuccessfulCreate               replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m
23m         Normal    SuccessfulCreate               replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h
23m         Normal    SuccessfulRescale              horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                          New size: 3; reason: cpu resource utilization (percentage of request) above target
23m         Normal    ScalingReplicaSet              deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 3
23m         Warning   Error                          llminferenceservice/qwen25-0-5b-instruct                                     Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
23m         Normal    Created                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m                             Created container: storage-initializer
23m         Normal    Pulled                         pod/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
23m         Normal    Created                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h                             Created container: storage-initializer
23m         Normal    Pulled                         pod/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
23m         Normal    Started                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m                             Started container storage-initializer
23m         Normal    Started                        pod/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h                             Started container storage-initializer
23m         Normal    SuccessfulCreate               replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8
