LAST SEEN   TYPE      REASON                         OBJECT                                                                            MESSAGE
52m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wmf9h to kserve-control-plane
4m12s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-l4sgp                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-l4sgp to kserve-control-plane
14m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-v5v4f                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-v5v4f to kserve-control-plane
50m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-79cf44fff4-dmg8t                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-79cf44fff4-dmg8t to kserve-control-plane
19m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-5gl5f                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-5gl5f to kserve-control-plane
52m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-fpsq8 to kserve-control-plane
19m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-hwkq8                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-hwkq8 to kserve-control-plane
9m13s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-7t6w5                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-7t6w5 to kserve-control-plane
12m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-5dc7ccd88f-628tg                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-5dc7ccd88f-628tg to kserve-control-plane
6m33s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-5f6d66cff6-whkk9                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-5f6d66cff6-whkk9 to kserve-control-plane
14m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-64f946d6c7-fnm6x                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-64f946d6c7-fnm6x to kserve-control-plane
4m12s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-wn2js                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wn2js to kserve-control-plane
14m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-pr5ks                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-pr5ks to kserve-control-plane
14m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-fprmf                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-fprmf to kserve-control-plane
9m12s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-8xnf4                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-8xnf4 to kserve-control-plane
9m12s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-84gk2                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-84gk2 to kserve-control-plane
17m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-6d94d5b78d-k2tbp                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6d94d5b78d-k2tbp to kserve-control-plane
18m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-8pqwl                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-8pqwl to kserve-control-plane
14m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-6xbt2                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-6xbt2 to kserve-control-plane
8m57s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-bbtjw                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-bbtjw to kserve-control-plane
3m57s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-prvh5                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-prvh5 to kserve-control-plane
52m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-tn5rd                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-tn5rd to kserve-control-plane
4m12s       Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-7hbhn                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-7hbhn to kserve-control-plane
52m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-vqz7m to kserve-control-plane
51m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-router-scheduler-886847d5-dc27g                   Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-886847d5-dc27g to kserve-control-plane
18m         Normal    Scheduled                      pod/qwen25-0-5b-instruct-kserve-665bf8f748-rc7c7                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-rc7c7 to kserve-control-plane
61m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:22Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
60m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:32Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
60m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:21:42Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
59m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Scaler prometheus is built
59m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/keda-hpa-qwen25-05b-instruct-keda-waiting-requests        invalid metrics (1 invalid out of 1), first error is: failed to get s0-prometheus external metric value: failed to get s0-prometheus external metric: unable to get external metric llm-demo/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen25-05b-instruct-keda-waiting-requests,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s0-prometheus encountered error
58m         Warning   FailedGetExternalMetric        horizontalpodautoscaler/keda-hpa-qwen25-05b-instruct-keda-waiting-requests        unable to get external metric llm-demo/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen25-05b-instruct-keda-waiting-requests,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s0-prometheus encountered error
58m         Warning   KEDAScalerFailed               scaledobject/qwen25-05b-instruct-keda-waiting-requests                            (combined from similar events): Get "http://prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local:9090/api/v1/query?query=sum%28%0A++vllm%3Anum_requests_waiting%7B%0A++++namespace%3D%22llm-demo%22%0A++%7D%0A%29&time=2026-04-10T15:24:22Z": dial tcp: lookup prometheus-kube-prometheus-prometheus.monitoring.svc.cluster.local on 10.96.0.10:53: no such host
56m         Normal    ScaledObjectReady              scaledobject/qwen25-05b-instruct-keda-waiting-requests                            ScaledObject is ready for scaling
56m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Started scalers watch
56m         Normal    KEDAScalersStarted             scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Scaler prometheus is built
54m         Warning   ScaledObjectDeleted            scaledobject/qwen25-05b-instruct-keda-waiting-requests                            ScaledObject was deleted
54m         Normal    KEDAScalersStopped             scaledobject/qwen25-05b-instruct-keda-waiting-requests                            Stopped scalers watch
