LAST SEEN   TYPE      REASON                OBJECT                                                                            MESSAGE
17m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-6ff49f8455-2blz7                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6ff49f8455-2blz7 to kserve-control-plane
9m13s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-wx589                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wx589 to kserve-control-plane
4m12s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-dcpjb                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-dcpjb to kserve-control-plane
9m13s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jtlhh                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jtlhh to kserve-control-plane
14m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-6dfdcdfb7d-fjkhz                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6dfdcdfb7d-fjkhz to kserve-control-plane
19m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jvff7                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jvff7 to kserve-control-plane
14m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-rk768                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-rk768 to kserve-control-plane
3m55s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-vrcdg                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-vrcdg to kserve-control-plane
9m13s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-ql8p8                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-ql8p8 to kserve-control-plane
4m12s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-vtzv7                                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-vtzv7 to kserve-control-plane
12m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-8c5dc967f-bkv5s                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-8c5dc967f-bkv5s to kserve-control-plane
2m23s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-78c8db7d68-f8vlx                 Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-78c8db7d68-f8vlx to kserve-control-plane
118s        Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-75ffb48f6-xbqsm                  Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-75ffb48f6-xbqsm to kserve-control-plane
