request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
zpqk51fpkh,conversation-sharegpt,completions,1775848335.4617667,1775848365.4646018,30002.84,30002.84,308,0,96,0,0,[Errno 104] Connection reset by peer
zycwtiqj7y,conversation-sharegpt,completions,1775848394.1158879,1775848424.121099,30005.21,30005.21,290,0,96,0,0,[Errno 104] Connection reset by peer
ye511mkfaz,conversation-sharegpt,completions,1775848454.126765,1775848484.1303205,30003.56,30003.56,1121,0,96,0,0,[Errno 104] Connection reset by peer
xpseimvihc,conversation-sharegpt,completions,1775848514.1345124,1775848544.1385462,30004.03,30004.03,536,0,96,0,0,[Errno 104] Connection reset by peer
14ffyvnvqj,conversation-sharegpt,completions,1775848425.4718182,1775848455.4763494,30004.53,30004.53,630,0,96,0,0,[Errno 104] Connection reset by peer
ex8fsv871y,conversation-sharegpt,completions,1775848485.4805322,1775848515.4832451,30002.71,30002.71,1049,0,96,0,0,[Errno 104] Connection reset by peer
ifd0tvbdiv,conversation-sharegpt,completions,1775848334.1060462,1775848364.1124568,30006.41,30006.41,185,0,96,0,0,[Errno 104] Connection reset by peer
d4v30t9nt3,conversation-sharegpt,completions,1775848364.1125684,1775848394.115764,30003.20,30003.20,533,0,96,0,0,[Errno 104] Connection reset by peer
xff0t0pvn9,conversation-sharegpt,completions,1775848424.121219,1775848454.126657,30005.44,30005.44,792,0,96,0,0,[Errno 104] Connection reset by peer
sdw4shnf87,conversation-sharegpt,completions,1775848455.4764628,1775848485.4804304,30003.97,30003.97,799,0,96,0,0,[Errno 104] Connection reset by peer
a753lc58dr,conversation-sharegpt,completions,1775848484.1304722,1775848514.1344075,30003.94,30003.94,982,0,96,0,0,[Errno 104] Connection reset by peer
blskrt05ui,conversation-sharegpt,completions,1775848515.48335,1775848545.4861805,30002.83,30002.83,573,0,96,0,0,[Errno 104] Connection reset by peer
dxmo5bxxc0,conversation-sharegpt,completions,1775848544.1387064,1775848574.1421108,30003.40,30003.40,799,0,96,0,0,[Errno 104] Connection reset by peer
1c32oc6uzh,conversation-sharegpt,completions,1775848395.4684367,1775848425.471676,30003.24,30003.24,1416,0,96,0,0,[Errno 104] Connection reset by peer
cx1945nq4f,conversation-sharegpt,completions,1775848365.4647162,1775848395.4683304,30003.61,30003.61,685,0,96,0,0,[Errno 104] Connection reset by peer
