LAST SEEN   TYPE      REASON                OBJECT                                                               MESSAGE
10m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-767jh                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-767jh to kserve-control-plane
10m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-gnfbm                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-gnfbm to kserve-control-plane
9m48s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-42lgh                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-42lgh to kserve-control-plane
10m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-wlqfz                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-wlqfz to kserve-control-plane
9m38s       Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-6b55b766c4-64ltb    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6b55b766c4-64ltb to kserve-control-plane
8m          Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-5cd5b84dd7-bcznf    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-5cd5b84dd7-bcznf to kserve-control-plane
11m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-waiting-requests               Stopped scalers watch
11m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-waiting-requests               ScaledObject was deleted
10m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                  New size: 4; reason: cpu resource utilization (percentage of request) above target
10m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                    Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-wlqfz
10m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                    Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-gnfbm
10m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                    Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-767jh
10m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                               Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 4
10m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-wlqfz                     Container image "kserve/storage-initializer:v0.17.0" already present on machine
10m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-gnfbm                     Container image "kserve/storage-initializer:v0.17.0" already present on machine
10m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-wlqfz                     Started container storage-initializer
10m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-767jh                     Container image "kserve/storage-initializer:v0.17.0" already present on machine
10m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-wlqfz                     Created container: storage-initializer
10m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-767jh                     Created container: storage-initializer
10m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-767jh                     Started container storage-initializer
10m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-gnfbm                     Created container: storage-initializer
