request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
n9t84azytj,long-context,completions,1775361759.9240096,1775361790.923229,30999.22,30999.22,9114,0,128,0,0,
j6bw3bme9f,long-context,completions,1775361887.9247675,1775361918.9248435,31000.08,31000.08,9718,0,128,0,0,
e0ifd0tvbd,long-context,completions,1775361696.244261,1775361726.923916,30679.66,30679.66,10624,0,128,0,0,
1945nq4fmy,long-context,completions,1775361726.9241865,1775361757.9251282,31000.94,31000.94,8208,0,128,0,0,
vazccblskr,long-context,completions,1775361794.923668,1775361825.924728,31001.06,31001.06,8208,0,128,0,0,
7xvg0fn9xu,long-context,completions,1775361728.9240904,1775361759.9237928,30999.70,30999.70,10926,0,128,0,0,
vyie6ivwpv,long-context,completions,1775361854.9236038,1775361885.9238229,31000.22,31000.22,7302,0,128,0,0,
mkfazz81sd,long-context,completions,1775361761.9240894,1775361792.9240198,30999.93,30999.93,10624,0,128,0,0,
tpac56t4uf,long-context,completions,1775361912.9250734,1775361943.9301739,31005.10,31005.10,9416,0,128,0,0,
2oy0ifznbq,long-context,completions,1775361918.9250624,1775361949.9257812,31000.72,31000.72,8812,0,128,0,0,
e7ur23gdpp,long-context,completions,1775361819.9249988,1775361850.9234056,30998.41,30998.41,10020,0,128,0,0,
ljyljexq77,long-context,completions,1775361856.9239354,1775361887.924584,31000.65,31000.65,9869,0,128,0,0,
kxvf1t2tal,long-context,completions,1775361763.9255588,1775361794.9233642,30997.81,30997.81,10473,0,128,0,0,
bn78bmyymu,long-context,completions,1775361914.9260128,1775361945.9248097,30998.80,30998.80,7604,0,128,0,0,
sahxthv3a3,long-context,completions,1775361698.2486584,1775361728.9238398,30675.18,30675.18,8208,0,128,0,0,
l1c32oc6uz,long-context,completions,1775361730.9239998,1775361761.9238539,30999.85,30999.85,10926,0,128,0,0,
5bxxc02dgt,long-context,completions,1775361821.9247198,1775361852.9231017,30998.38,30998.38,9567,0,128,0,0,
pkh1dnmmjb,long-context,completions,1775361700.2536986,1775361730.9237847,30670.09,30670.09,10926,0,128,0,0,
q99chj755n,long-context,completions,1775361881.924609,1775361912.9248528,31000.24,31000.24,7000,0,128,0,0,
en93iiuc03,long-context,completions,1775361788.9243767,1775361819.9247808,31000.40,31000.40,7000,0,128,0,0,
owf75935a0,long-context,completions,1775361916.9257743,1775361947.9263418,31000.57,31000.57,11983,0,128,0,0,
pki7p5tb94,long-context,completions,1775361823.926124,1775361854.9233384,30997.21,30997.21,7755,0,128,0,0,
xo6qjiujv6,long-context,completions,1775361732.9238036,1775361763.925271,31001.47,31001.47,8057,0,128,0,0,
ptk93tyt7d,long-context,completions,1775361883.9247298,1775361914.925781,31001.05,31001.05,7755,0,128,0,0,
d1ior56fao,long-context,completions,1775361825.924931,1775361856.9236872,30998.76,30998.76,12587,0,128,0,0,
tex8fsv871,long-context,completions,1775361790.923518,1775361821.9244988,31000.98,31000.98,11379,0,128,0,0,
2qp89uzfk8,long-context,completions,1775361850.9237247,1775361881.9243267,31000.60,31000.60,12285,0,128,0,0,
t9nt3w5uzb,long-context,completions,1775361702.2589247,1775361732.9235795,30664.65,30664.65,9567,0,128,0,0,
n9er14ffyv,long-context,completions,1775361757.9253478,1775361788.9241276,30998.78,30998.78,9265,0,128,0,0,
eedtjvzhwj,long-context,completions,1775361885.9240162,1775361916.9255483,31001.53,31001.53,11983,0,128,0,0,
hl9xpseimv,long-context,completions,1775361792.924251,1775361823.9259138,31001.66,31001.66,10926,0,128,0,0,
0clbr7tcs4,long-context,completions,1775361852.923319,1775361883.9244845,31001.17,31001.17,10322,0,128,0,0,
