request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
wrpbjek5rb,queue-pressure,queue_build,completions,1776102727.922543,1776102773.921993,45999.45,45999.45,10687,0,284,0,0,
jcat9mx2x1,queue-pressure,queue_build,completions,1776102660.9201083,1776102706.9194422,45999.33,45999.33,15427,0,299,0,0,
w71q3vli7k,queue-pressure,queue_build,completions,1776102681.920332,1776102727.9223263,46001.99,46001.99,13531,0,261,0,0,
zlaoi4e8xf,queue-pressure,queue_build,completions,1776102732.9214513,1776102778.9231536,46001.70,46001.70,13373,0,253,0,0,
6hid25owf7,queue-pressure,queue_build,completions,1776102613.9200656,1776102659.9201634,46000.10,46000.10,14479,0,202,0,0,
tiqj7yhl1c,queue-pressure,warmup,completions,1776102558.9868731,1776102604.9199688,45933.10,45933.10,13373,0,235,0,0,
wxe6sylztg,queue-pressure,queue_build,completions,1776102630.9201856,1776102676.9193697,45999.18,45999.18,13531,0,276,0,0,
935a0l7253,queue-pressure,queue_build,completions,1776102613.9242337,1776102659.920318,45996.08,45996.08,14795,0,233,0,0,
usgiotirzq,queue-pressure,queue_build,completions,1776102691.9202106,1776102737.9199574,45999.75,45999.75,13215,0,262,0,0,
39tex8fsv8,queue-pressure,queue_build,completions,1776102568.813114,1776102613.9197164,45106.60,45106.60,14005,0,316,0,0,
5nq4fmyzyc,queue-pressure,warmup,completions,1776102553.977293,1776102599.9201934,45942.90,45942.90,14795,0,251,0,0,
2d54i3qk2i,queue-pressure,queue_build,completions,1776102614.9321718,1776102660.9198864,45987.71,45987.71,11161,0,232,0,0,
koixntm9tm,queue-pressure,queue_build,completions,1776102696.92027,1776102742.9193752,45999.11,45999.11,9739,0,215,0,0,
okc1msy4la,queue-pressure,queue_build,completions,1776102615.9196982,1776102661.919513,45999.81,45999.81,9739,0,241,0,0,
lizl08yg0j,queue-pressure,queue_build,completions,1776102701.9198163,1776102747.9201126,46000.30,46000.30,12267,0,261,0,0,
zoyn6qicat,queue-pressure,queue_build,completions,1776102569.6258543,1776102614.9318404,45305.99,45305.99,15269,0,243,0,0,
g8jdp0lvsn,queue-pressure,queue_build,completions,1776102616.9201543,1776102662.9198,45999.65,45999.65,14953,0,258,0,0,
1uymrlrmjk,queue-pressure,queue_build,completions,1776102686.9210646,1776102732.9212363,46000.17,46000.17,12267,0,254,0,0,
sj49itn7s5,queue-pressure,queue_build,completions,1776102737.920177,1776102783.9227595,46002.58,46002.58,15269,0,266,0,0,
93kmkzebbk,queue-pressure,queue_build,completions,1776102701.9208512,1776102747.9199562,45999.10,45999.10,13215,0,264,0,0,
w1dakrm8j5,queue-pressure,queue_build,completions,1776102702.919629,1776102748.9203975,46000.77,46000.77,15269,0,224,0,0,
ocwbfuk9e1,queue-pressure,queue_build,completions,1776102703.9192152,1776102749.9207973,46001.58,46001.58,10213,0,208,0,0,
azccblskrt,queue-pressure,queue_build,completions,1776102570.4360607,1776102615.9194584,45483.40,45483.40,13215,0,248,0,0,
y6wktakpux,queue-pressure,queue_build,completions,1776102635.9200647,1776102681.920064,46000.00,46000.00,13531,0,289,0,0,
1n6kvpuc8d,queue-pressure,queue_build,completions,1776102704.9198925,1776102750.9202816,46000.39,46000.39,13215,0,249,0,0,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776102563.9451609,1776102609.9194937,45974.33,45974.33,14637,0,200,0,0,
qrl1n759in,queue-pressure,queue_build,completions,1776102747.9202964,1776102793.9254208,46005.12,46005.12,12583,0,230,0,0,
wjcitfoyqb,queue-pressure,queue_build,completions,1776102705.9199336,1776102751.9205523,46000.62,46000.62,14163,0,245,0,0,
phr62gdswm,queue-pressure,queue_build,completions,1776102640.9202163,1776102686.920412,46000.20,46000.20,12425,0,305,0,0,
9yjb1qx6gv,queue-pressure,queue_build,completions,1776102708.9201496,1776102754.9200978,45999.95,45999.95,14637,0,197,0,0,
