LAST SEEN   TYPE      REASON               OBJECT                                                               MESSAGE
26m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-54v8c                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-54v8c to kserve-control-plane
27m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-78bdcc594d-9kthl    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-78bdcc594d-9kthl to kserve-control-plane
56m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-gjwzc                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-gjwzc to kserve-control-plane
48m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-frdtg                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-frdtg to kserve-control-plane
26m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-fpt2s                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-fpt2s to kserve-control-plane
19m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-dpjh8                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-dpjh8 to kserve-control-plane
41m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-692vj                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-692vj to kserve-control-plane
48m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-cgjxz                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-cgjxz to kserve-control-plane
5m29s       Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-cdfc6967f-rv99f     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-cdfc6967f-rv99f to kserve-control-plane
48m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-4r25q                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-4r25q to kserve-control-plane
48m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-hqwhs                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-hqwhs to kserve-control-plane
34m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-9hqzs                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-9hqzs to kserve-control-plane
11m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-jcrtw                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jcrtw to kserve-control-plane
18m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-svlcx                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-svlcx to kserve-control-plane
41m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-pmqqx                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-pmqqx to kserve-control-plane
41m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-8ppsc                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-8ppsc to kserve-control-plane
11m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-psjws                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-psjws to kserve-control-plane
11m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-r2d25                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-r2d25 to kserve-control-plane
56m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-5b57w                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-5b57w to kserve-control-plane
33m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-ghssf                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-ghssf to kserve-control-plane
34m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-lq2fz                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-lq2fz to kserve-control-plane
41m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-6449fbcb98-5xrxf    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6449fbcb98-5xrxf to kserve-control-plane
50m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-868c4cf777-9p5ml    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-868c4cf777-9p5ml to kserve-control-plane
20m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-84c57dcbbb-b2g9k    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-84c57dcbbb-b2g9k to kserve-control-plane
35m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-64dcdd5d87-2zpq2    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-64dcdd5d87-2zpq2 to kserve-control-plane
26m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-sxjq8                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-sxjq8 to kserve-control-plane
42m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-router-scheduler-654dbb885f-x5gb2    Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-654dbb885f-x5gb2 to kserve-control-plane
11m         Normal    Scheduled            pod/qwen25-0-5b-instruct-kserve-665bf8f748-5982r                     Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-5982r to kserve-control-plane
