request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
ckw5ngcx19,queue-pressure,warmup,completions,1776107129.6302824,1776107174.9195251,45289.24,45289.24,15111,0,288,0,0,
6hid25owf7,queue-pressure,queue_build,completions,1776107193.9207351,1776107239.9192758,45998.54,45998.54,14479,0,202,0,0,
1uymrlrmjk,queue-pressure,queue_build,completions,1776107266.920274,1776107312.9208865,46000.61,46000.61,12267,0,254,0,0,
dp5gjlqm5k,queue-pressure,queue_build,completions,1776107240.9202316,1776107286.9200056,45999.77,45999.77,11951,0,198,0,0,
935a0l7253,queue-pressure,queue_build,completions,1776107194.9200382,1776107240.9200118,45999.97,45999.97,14795,0,233,0,0,
39tex8fsv8,queue-pressure,queue_build,completions,1776107149.4794772,1776107194.9197361,45440.26,45440.26,14005,0,316,0,0,
usgiotirzq,queue-pressure,queue_build,completions,1776107271.9209769,1776107317.9198916,45998.91,45998.91,13215,0,262,0,0,
5nq4fmyzyc,queue-pressure,warmup,completions,1776107134.6423051,1776107179.9205368,45278.23,45278.23,14795,0,251,0,0,
wrpbjek5rb,queue-pressure,queue_build,completions,1776107307.9212906,1776107353.9220946,46000.80,46000.80,10687,0,284,0,0,
2d54i3qk2i,queue-pressure,queue_build,completions,1776107195.9199128,1776107241.9198096,45999.90,45999.90,11161,0,232,0,0,
koixntm9tm,queue-pressure,queue_build,completions,1776107276.9207916,1776107322.920949,46000.16,46000.16,9739,0,215,0,0,
sj49itn7s5,queue-pressure,queue_build,completions,1776107317.9201705,1776107363.9211264,46000.96,46000.96,15269,0,266,0,0,
okc1msy4la,queue-pressure,queue_build,completions,1776107196.920727,1776107242.91986,45999.13,45999.13,9739,0,241,0,0,
lizl08yg0j,queue-pressure,queue_build,completions,1776107281.9206617,1776107327.9211287,46000.47,46000.47,12267,0,261,0,0,
tiqj7yhl1c,queue-pressure,warmup,completions,1776107139.648869,1776107184.9199426,45271.07,45271.07,13373,0,235,0,0,
zoyn6qicat,queue-pressure,queue_build,completions,1776107150.2919786,1776107195.9196792,45627.70,45627.70,15269,0,243,0,0,
g8jdp0lvsn,queue-pressure,queue_build,completions,1776107196.9217246,1776107242.9196842,45997.96,45997.96,14953,0,258,0,0,
w71q3vli7k,queue-pressure,queue_build,completions,1776107261.9211435,1776107307.9210181,45999.87,45999.87,13531,0,261,0,0,
93kmkzebbk,queue-pressure,queue_build,completions,1776107282.9216306,1776107328.9205623,45998.93,45998.93,13215,0,264,0,0,
bi4q2y9v86,queue-pressure,queue_build,completions,1776107235.9206374,1776107281.920327,45999.69,45999.69,12741,0,310,0,0,
j2o7s3kkv9,queue-pressure,queue_build,completions,1776107322.9212105,1776107368.9238942,46002.68,46002.68,14795,0,209,0,0,
wxe6sylztg,queue-pressure,queue_build,completions,1776107210.9201965,1776107256.9205363,46000.34,46000.34,13531,0,276,0,0,
azccblskrt,queue-pressure,queue_build,completions,1776107151.1030319,1776107196.9202712,45817.24,45817.24,13215,0,248,0,0,
ocwbfuk9e1,queue-pressure,queue_build,completions,1776107284.9208095,1776107330.9201963,45999.39,45999.39,10213,0,208,0,0,
w1dakrm8j5,queue-pressure,queue_build,completions,1776107283.9199069,1776107329.9190369,45999.13,45999.13,15269,0,224,0,0,
1n6kvpuc8d,queue-pressure,queue_build,completions,1776107284.9219232,1776107330.9200475,45998.12,45998.12,13215,0,249,0,0,
qrl1n759in,queue-pressure,queue_build,completions,1776107327.92154,1776107373.9199708,45998.43,45998.43,12583,0,230,0,0,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776107144.6105456,1776107189.9208686,45310.32,45310.32,14637,0,200,0,0,
y6wktakpux,queue-pressure,queue_build,completions,1776107215.919684,1776107261.9203825,46000.70,46000.70,13531,0,289,0,0,
wjcitfoyqb,queue-pressure,queue_build,completions,1776107285.9204466,1776107331.9195032,45999.06,45999.06,14163,0,245,0,0,
phr62gdswm,queue-pressure,queue_build,completions,1776107220.9199598,1776107266.919973,46000.01,46000.01,12425,0,305,0,0,
7srcbpljd8,queue-pressure,queue_build,completions,1776107288.920286,1776107334.9208558,46000.57,46000.57,13847,0,295,0,0,
irodxmo5bx,queue-pressure,queue_build,completions,1776107151.9136121,1776107196.9204404,45006.83,45006.83,14005,0,313,0,0,
zqy72wx7pt,queue-pressure,queue_build,completions,1776107286.9202745,1776107332.9200072,45999.73,45999.73,11319,0,264,0,0,
yihair4cow,queue-pressure,queue_build,completions,1776107225.9200385,1776107271.9206448,46000.61,46000.61,14479,0,252,0,0,
9yjb1qx6gv,queue-pressure,queue_build,completions,1776107288.9214034,1776107334.9210181,45999.61,45999.61,14637,0,197,0,0,
63cfl0ukey,queue-pressure,queue_build,completions,1776107287.919868,1776107333.920359,46000.49,46000.49,13531,0,230,0,0,
rixa11dpg8,queue-pressure,queue_build,completions,1776107230.9203115,1776107276.920498,46000.19,46000.19,10687,0,290,0,0,
f0t0pvn9er,queue-pressure,queue_build,completions,1776107145.417393,1776107190.9189456,45501.55,45501.55,10371,0,259,0,0,
c02dgtfgq5,queue-pressure,queue_build,completions,1776107159.919562,1776107205.919786,46000.22,46000.22,13531,0,217,0,0,
b0z3nx39rb,queue-pressure,queue_build,completions,1776107328.920903,1776107374.9202614,45999.36,45999.36,14795,0,297,0,0,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776107146.2281392,1776107191.9207516,45692.61,45692.61,14163,0,204,0,0,
jckjlteiyz,queue-pressure,queue_build,completions,1776107237.9200823,1776107283.9195635,45999.48,45999.48,13373,0,253,0,0,
8qoldforxo,queue-pressure,queue_build,completions,1776107297.9206233,1776107343.921294,46000.67,46000.67,13373,0,317,0,0,
55psq0oxfq,queue-pressure,queue_build,completions,1776107329.9192402,1776107375.9201727,46000.93,46000.93,12583,0,276,0,0,
zlaoi4e8xf,queue-pressure,queue_build,completions,1776107312.9212267,1776107358.920321,45999.09,45999.09,13373,0,253,0,0,
34dxtad1io,queue-pressure,queue_build,completions,1776107164.919507,1776107210.9199727,46000.47,46000.47,10055,0,305,0,0,
otohp6vz41,queue-pressure,queue_build,completions,1776107238.9202523,1776107284.920523,46000.27,46000.27,9897,0,298,0,0,
myx444nlz1,queue-pressure,queue_build,completions,1776107330.92039,1776107376.9201496,45999.76,45999.76,15427,0,259,0,0,
56fao72kz0,queue-pressure,queue_build,completions,1776107169.9199066,1776107215.9194229,45999.52,45999.52,12425,0,246,0,0,
am148p0tvh,queue-pressure,queue_build,completions,1776107238.9212637,1776107284.9203346,45999.07,45999.07,11951,0,314,0,0,
3t60rjiw1s,queue-pressure,queue_build,completions,1776107236.91972,1776107282.9212663,46001.55,46001.55,13215,0,301,0,0,
wiykid91zd,queue-pressure,queue_build,completions,1776107330.9213207,1776107376.9199831,45998.66,45998.66,14795,0,201,0,0,
fk8ut0cvs4,queue-pressure,queue_build,completions,1776107174.9198377,1776107220.9196825,45999.84,45999.84,14321,0,316,0,0,
ye511mkfaz,queue-pressure,queue_build,completions,1776107147.0412402,1776107192.919919,45878.68,45878.68,15269,0,194,0,0,
pbmyofqewa,queue-pressure,queue_build,completions,1776107239.9194963,1776107285.9202187,46000.72,46000.72,10845,0,261,0,0,
6b2knftu2g,queue-pressure,queue_build,completions,1776107331.9197962,1776107377.9214215,46001.63,46001.63,10529,0,268,0,0,
dpja1wj0tp,queue-pressure,queue_build,completions,1776107192.9203012,1776107238.9200134,45999.71,45999.71,11161,0,205,0,0,
qll8os9xto,queue-pressure,queue_build,completions,1776107302.9221694,1776107348.9221888,46000.02,46000.02,14163,0,201,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776107114.6017902,1776107159.9192839,45317.49,45317.49,13373,0,220,0,0,
8cgvyie6iv,queue-pressure,queue_build,completions,1776107179.9208066,1776107225.9198174,45999.01,45999.01,10529,0,206,0,0,
uzzpqk51fp,queue-pressure,warmup,completions,1776107119.6106508,1776107164.9192393,45308.59,45308.59,12583,0,198,0,0,
wi6fqjja26,queue-pressure,queue_build,completions,1776107332.9202642,1776107378.920413,46000.15,46000.15,10055,0,289,0,0,
jcat9mx2x1,queue-pressure,queue_build,completions,1776107241.9200675,1776107287.919542,45999.47,45999.47,15427,0,299,0,0,
pvs7hzioyk,queue-pressure,queue_build,completions,1776107184.9202113,1776107230.9200788,45999.87,45999.87,13373,0,212,0,0,
jza7tz0ync,queue-pressure,queue_build,completions,1776107205.9200628,1776107251.9199452,45999.88,45999.88,13057,0,240,0,0,
c89k8yqk94,queue-pressure,queue_build,completions,1776107333.920685,1776107379.9205608,45999.88,45999.88,13689,0,232,0,0,
hafeyuhz1g,queue-pressure,queue_build,completions,1776107242.9200969,1776107288.9200478,45999.95,45999.95,15269,0,255,0,0,
awudtsemci,queue-pressure,queue_build,completions,1776107189.9211407,1776107235.920303,45999.16,45999.16,11477,0,210,0,0,
nmkza3oa52,queue-pressure,queue_build,completions,1776107334.921246,1776107380.921107,45999.86,45999.86,10213,0,252,0,0,
2flu7u6n7h,queue-pressure,queue_build,completions,1776107242.921081,1776107288.9198775,45998.80,45998.80,13215,0,221,0,0,
vren93iiuc,queue-pressure,queue_build,completions,1776107148.6663063,1776107193.920381,45254.07,45254.07,15427,0,192,0,0,
