request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
yzycwtiqj7,scaling-step,warmup,completions,1776104881.6711228,1776104926.9208906,45249.77,45249.77,700,0,90,0,0,
3qk2iagl58,scaling-step,scale_up,completions,1776104943.9202027,1776104989.9198139,45999.61,45999.61,648,0,89,0,0,
3vli7kq1uy,scaling-step,scale_up,completions,1776104992.9205709,1776105038.9204633,45999.89,45999.89,855,0,119,0,0,
v08hhxfgca,scaling-step,scale_up,completions,1776105026.9211535,1776105072.9210985,45999.94,45999.94,1135,0,71,0,0,
4ve92mpnsm,scaling-step,scale_up,completions,1776104990.9196928,1776105036.9201043,46000.41,46000.41,1175,0,102,0,0,
1ht7pze9vi,scaling-step,scale_up,completions,1776105037.9210079,1776105083.9204688,45999.46,45999.46,982,0,120,0,0,
nf4zw9xa3k,scaling-step,scale_up,completions,1776104930.9197237,1776104976.9191606,45999.44,45999.44,411,0,95,0,0,
ertj5pht0h,scaling-step,scale_up,completions,1776104898.6740842,1776104943.9198747,45245.79,45245.79,1049,0,80,0,0,
9itn7s55j2,scaling-step,scale_up,completions,1776105039.9211001,1776105085.9209528,45999.85,45999.85,899,0,125,0,0,
dppq0y9dom,scaling-step,scale_up,completions,1776104901.6792643,1776104946.9193006,45240.04,45240.04,537,0,76,0,0,
rbsv55psq0,scaling-step,scale_up,completions,1776105056.921149,1776105102.9240093,46002.86,46002.86,913,0,83,0,0,
yihair4cow,scaling-step,scale_up,completions,1776104960.919918,1776105006.919554,45999.64,45999.64,542,0,94,0,0,
edtjvzhwjr,scaling-step,scale_up,completions,1776104934.9201782,1776104980.919346,45999.17,45999.17,455,0,97,0,0,
mly4lyk83t,scaling-step,scale_up,completions,1776105035.9209368,1776105081.9204295,45999.49,45999.49,411,0,124,0,0,
4gh2m5zja8,scaling-step,scale_up,completions,1776104993.9210494,1776105039.92088,45999.83,45999.83,442,0,127,0,0,
hv3a3zmf8m,scaling-step,warmup,completions,1776104869.6680143,1776104914.9208884,45252.87,45252.87,550,0,117,0,0,
8j5ecruyf3,scaling-step,scale_up,completions,1776105018.9203467,1776105064.9210458,46000.70,46000.70,641,0,87,0,0,
