LAST SEEN   TYPE      REASON                OBJECT                                                                       MESSAGE
24m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-84df864496-4rqtn            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-84df864496-4rqtn to kserve-control-plane
27m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jl927 to kserve-control-plane
27m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67 to kserve-control-plane
27m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts to kserve-control-plane
25m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72 to kserve-control-plane
27m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p to kserve-control-plane
49m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-aware                            Scaler prometheus is built
49m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-aware                            Started scalers watch
49m         Normal    ScaledObjectReady     scaledobject/qwen25-05b-instruct-keda-token-aware                            ScaledObject is ready for scaling
48m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-token-aware                            Stopped scalers watch
48m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-token-aware                            ScaledObject was deleted
48m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Started scalers watch
48m         Normal    ScaledObjectReady     scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  ScaledObject is ready for scaling
48m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Scaler prometheus is built
47m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Scaler prometheus is built
47m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  ScaledObject was deleted
47m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Started scalers watch
47m         Normal    ScaledObjectReady     scaledobject/qwen25-05b-instruct-keda-waiting-requests                       ScaledObject is ready for scaling
47m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Stopped scalers watch
42m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-5rstz
42m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 5 to 1
42m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5rstz                             Stopping container main
42m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-smp9l                             Stopping container main
42m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-smp9l
42m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-gl9fx
42m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-2zx6z
42m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-gl9fx                             Stopping container main
42m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2zx6z                             Stopping container main
42m         Normal    SuccessfulRescale     horizontalpodautoscaler/keda-hpa-qwen25-05b-instruct-keda-waiting-requests   New size: 1; reason: All metrics below target
42m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-gl9fx                             Readiness probe failed: Get "http://10.244.0.87:8000/health": read tcp 10.244.0.1:57954->10.244.0.87:8000: read: connection reset by peer
42m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-5rstz                             Readiness probe failed: Get "http://10.244.0.86:8000/health": dial tcp 10.244.0.86:8000: connect: connection refused
42m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-2zx6z                             Readiness probe failed: Get "http://10.244.0.84:8000/health": read tcp 10.244.0.1:46110->10.244.0.84:8000: read: connection reset by peer
42m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-smp9l                             Readiness probe failed: Get "http://10.244.0.85:8000/health": read tcp 10.244.0.1:58658->10.244.0.85:8000: read: connection reset by peer
28m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-waiting-requests                       ScaledObject was deleted
28m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Stopped scalers watch
27m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 4
27m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                          New size: 4; reason: cpu resource utilization (percentage of request) above target
27m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-jl927
27m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-5lx67
27m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p
27m         Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                                     Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
27m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
27m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                             Created container: storage-initializer
27m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
27m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
27m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                             Created container: storage-initializer
27m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                             Started container storage-initializer
27m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                             Started container storage-initializer
27m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Created container: storage-initializer
27m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Started container storage-initializer
27m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-kvdts
27m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 4 to 5
27m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                          New size: 5; reason: cpu resource utilization (percentage of request) above target
27m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                             Created container: storage-initializer
27m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
27m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                             Started container storage-initializer
27m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
27m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
27m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7 from 1 to 0
27m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7           Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7-mtv9j
27m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7-mtv9j            Stopping container main
26m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7-mtv9j            Readiness probe failed: timeout: failed to connect service "10.244.0.88:9003" within 1s: context deadline exceeded
26m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
26m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Created container: main
26m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Started container main
25m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67 from 0 to 1
25m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67           Created pod: qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72
25m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72            Container image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0" already present on machine
25m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72            Created container: main
