request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
okc1msy4la,short-bursts,completions,1775624194.4548733,1775624194.457181,2.31,2.31,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
j17mgfxc08,short-bursts,completions,1775624237.4220057,1775624237.4230611,1.06,1.06,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
l1n13jcat9,short-bursts,completions,1775624203.0379572,1775624203.0400958,2.14,2.14,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
pq85jsg65k,short-bursts,completions,1775624182.0825639,1775624182.0839605,1.40,1.40,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
rfcd6mzsgi,short-bursts,completions,1775624243.346255,1775624243.3474872,1.23,1.23,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
g10ur5l8a7,short-bursts,completions,1775624290.4665282,1775624290.468035,1.51,1.51,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zcywd14ve9,short-bursts,completions,1775624203.786074,1775624203.7873287,1.25,1.25,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
4z7w2sehe2,short-bursts,completions,1775624257.3721695,1775624257.37351,1.34,1.34,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
2vajepecqn,short-bursts,completions,1775624233.627185,1775624233.6299837,2.80,2.80,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
t0sx5wvfgy,short-bursts,completions,1775624247.6034174,1775624247.605672,2.25,2.25,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
82kkzmpjrh,short-bursts,completions,1775624272.3708036,1775624272.3723009,1.50,1.50,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
q1uymrlrmj,short-bursts,completions,1775624204.7913966,1775624204.7936614,2.26,2.26,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
2xf8e8ld4d,short-bursts,completions,1775624216.60855,1775624216.6100621,1.51,1.51,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
wtektsg7fx,short-bursts,completions,1775624260.691427,1775624260.69287,1.44,1.44,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
w5rtwiykid,short-bursts,completions,1775624219.596333,1775624219.59737,1.04,1.04,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
kipu1wyuvx,short-bursts,completions,1775624237.3403957,1775624237.3426223,2.23,2.23,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
16zzoilkqx,short-bursts,completions,1775624291.8479154,1775624291.8494112,1.50,1.50,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
153a5qbswr,short-bursts,completions,1775624211.798582,1775624211.7999082,1.33,1.33,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
uq9e5cozro,short-bursts,completions,1775624258.8545237,1775624258.8574994,2.98,2.98,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
z02xrghc0c,short-bursts,completions,1775624186.8104627,1775624186.8119283,1.47,1.47,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
p8hqmabsi9,short-bursts,completions,1775624251.874195,1775624251.8756132,1.42,1.42,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
g1m8xfdjgf,short-bursts,completions,1775624241.9091868,1775624241.9102094,1.02,1.02,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
fliji18k0a,short-bursts,completions,1775624279.945897,1775624279.9469042,1.01,1.01,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
8jdp0lvsnu,short-bursts,completions,1775624195.1754048,1775624195.1772027,1.80,1.80,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
svn7n1ybwm,short-bursts,completions,1775624243.6061916,1775624243.6074386,1.25,1.25,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
qodpxnf7c3,short-bursts,completions,1775624235.3333914,1775624235.3346865,1.30,1.30,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
bb9eitnn8z,short-bursts,completions,1775624230.7097278,1775624230.710768,1.04,1.04,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
txki3oqyfo,short-bursts,completions,1775624262.118866,1775624262.1203272,1.46,1.46,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
jjeget1ghr,short-bursts,completions,1775624206.8246377,1775624206.825916,1.28,1.28,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
6befflzm76,short-bursts,completions,1775624260.3120933,1775624260.3135133,1.42,1.42,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
74frhocn9j,short-bursts,completions,1775624184.4912403,1775624184.492641,1.40,1.40,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
8bfqnpcenl,short-bursts,completions,1775624256.7285037,1775624256.7295256,1.02,1.02,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
srd9q46nou,short-bursts,completions,1775624292.765869,1775624292.7680874,2.22,2.22,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
ia5u6hc36k,short-bursts,completions,1775624230.632865,1775624230.6343362,1.47,1.47,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zewviytwbo,short-bursts,completions,1775624273.5109863,1775624273.5123992,1.41,1.41,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
f1t2tala75,short-bursts,completions,1775624182.1623702,1775624182.1635373,1.17,1.17,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
ldzmfb7r31,short-bursts,completions,1775624251.9810693,1775624251.9820764,1.01,1.01,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
citfoyqbkk,short-bursts,completions,1775624210.2612822,1775624210.262742,1.46,1.46,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
hpmnz1udbf,short-bursts,completions,1775624237.4424067,1775624237.443435,1.03,1.03,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
iuc039tex8,short-bursts,completions,1775624182.7896824,1775624182.791796,2.11,2.11,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
93kmkzebbk,short-bursts,completions,1775624207.635348,1775624207.6367152,1.37,1.37,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
r5xqt4p501,short-bursts,completions,1775624263.9684987,1775624263.9695504,1.05,1.05,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
1gspk9p38q,short-bursts,completions,1775624210.9521513,1775624210.9533844,1.23,1.23,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
9dvnu80b6u,short-bursts,completions,1775624242.6551266,1775624242.6561506,1.02,1.02,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
2gc5wi6fqj,short-bursts,completions,1775624222.6086557,1775624222.6101458,1.49,1.49,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
yb8dalfyo1,short-bursts,completions,1775624269.372757,1775624269.375031,2.27,2.27,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
0rjiw1swjc,short-bursts,completions,1775624198.985183,1775624198.9865267,1.34,1.34,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
y5y2jr8kk7,short-bursts,completions,1775624270.8574004,1775624270.858819,1.42,1.42,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
4ivsolmlgs,short-bursts,completions,1775624241.8473952,1775624241.848822,1.43,1.43,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
yv2stn7e36,short-bursts,completions,1775624281.1783137,1775624281.1795568,1.24,1.24,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zja8dzr1yx,short-bursts,completions,1775624205.0102282,1775624205.0114148,1.19,1.19,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
jxrpj1epky,short-bursts,completions,1775624238.3578415,1775624238.3593385,1.50,1.50,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zzpqk51fpk,short-bursts,completions,1775624174.0444593,1775624174.0451176,0.66,0.66,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
