LAST SEEN   TYPE      REASON                OBJECT                                                                  MESSAGE
57m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                        Startup probe failed: Get "http://10.244.0.91:8000/health": dial tcp 10.244.0.91:8000: connect: connection refused
53m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Container main failed startup probe, will be restarted
53m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Container main failed startup probe, will be restarted
53m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Container main failed startup probe, will be restarted
52m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
52m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
52m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Created container: main
52m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Started container main
52m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Started container main
52m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Created container: main
52m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Container image "quay.io/pierdipi/vllm-cpu:latest" already present on machine
52m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Created container: main
52m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Started container main
50m         Normal    ScaledObjectReady     scaledobject/qwen25-05b-instruct-keda-token-aware                       ScaledObject is ready for scaling
50m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-aware                       Scaler prometheus is built
50m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-aware                       Started scalers watch
47m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Startup probe failed: Get "http://10.244.0.92:8000/health": dial tcp 10.244.0.92:8000: connect: connection refused
47m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Startup probe failed: Get "http://10.244.0.90:8000/health": dial tcp 10.244.0.90:8000: connect: connection refused
47m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Startup probe failed: Get "http://10.244.0.89:8000/health": dial tcp 10.244.0.89:8000: connect: connection refused
