LAST SEEN   TYPE      REASON                OBJECT                                                                       MESSAGE
39m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-84df864496-4rqtn            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-84df864496-4rqtn to kserve-control-plane
42m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67 to kserve-control-plane
40m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72            Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72 to kserve-control-plane
42m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jl927 to kserve-control-plane
42m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p to kserve-control-plane
42m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts to kserve-control-plane
57m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-smp9l                             Stopping container main
57m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 5 to 1
57m         Normal    SuccessfulRescale     horizontalpodautoscaler/keda-hpa-qwen25-05b-instruct-keda-waiting-requests   New size: 1; reason: All metrics below target
57m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2zx6z                             Stopping container main
57m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-2zx6z
57m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-gl9fx
57m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-smp9l
57m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-5rstz
57m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5rstz                             Stopping container main
57m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-gl9fx                             Stopping container main
57m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-5rstz                             Readiness probe failed: Get "http://10.244.0.86:8000/health": dial tcp 10.244.0.86:8000: connect: connection refused
57m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-smp9l                             Readiness probe failed: Get "http://10.244.0.85:8000/health": read tcp 10.244.0.1:58658->10.244.0.85:8000: read: connection reset by peer
57m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-2zx6z                             Readiness probe failed: Get "http://10.244.0.84:8000/health": read tcp 10.244.0.1:46110->10.244.0.84:8000: read: connection reset by peer
57m         Warning   Unhealthy             pod/qwen25-0-5b-instruct-kserve-665bf8f748-gl9fx                             Readiness probe failed: Get "http://10.244.0.87:8000/health": read tcp 10.244.0.1:57954->10.244.0.87:8000: read: connection reset by peer
43m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-waiting-requests                       Stopped scalers watch
43m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-waiting-requests                       ScaledObject was deleted
42m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p
42m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-5lx67
42m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                          New size: 4; reason: cpu resource utilization (percentage of request) above target
42m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 4
