LAST SEEN   TYPE      REASON                OBJECT                                                                  MESSAGE
45m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts to kserve-control-plane
46m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67 to kserve-control-plane
46m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-jl927 to kserve-control-plane
43m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-84df864496-4rqtn       Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-84df864496-4rqtn to kserve-control-plane
44m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72       Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-6859cb7c67-lmz72 to kserve-control-plane
46m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p to kserve-control-plane
46m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-waiting-requests                  ScaledObject was deleted
46m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-waiting-requests                  Stopped scalers watch
46m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                  Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 4
46m         Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                                Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
46m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p
46m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-jl927
46m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-5lx67
46m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                     New size: 4; reason: cpu resource utilization (percentage of request) above target
46m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
46m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
46m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Started container storage-initializer
46m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Started container storage-initializer
46m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-cqw5p                        Created container: storage-initializer
46m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-5lx67                        Created container: storage-initializer
46m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                        Created container: storage-initializer
46m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
46m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-jl927                        Started container storage-initializer
45m         Normal    SuccessfulRescale     horizontalpodautoscaler/qwen25-0-5b-instruct-kserve                     New size: 5; reason: cpu resource utilization (percentage of request) above target
45m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                       Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-kvdts
45m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                  Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 4 to 5
45m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Container image "kserve/storage-initializer:v0.17.0" already present on machine
45m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Created container: storage-initializer
45m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-kvdts                        Started container storage-initializer
45m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7      Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7-mtv9j
45m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                 Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-76d7f6cdf7 from 1 to 0
