run_dir,model_key,scenario,policy_key,policy_type,requests_total_recorded,requests_ok,requests_failed,error_rate,latency_p50_ms,latency_p95_ms,ttft_p50_ms,ttft_p95_ms,avg_waiting_requests,max_waiting_requests,avg_running_requests,max_running_requests,avg_generation_toks_per_s,max_generation_toks_per_s,avg_kv_cache_usage_perc,max_kv_cache_usage_perc,avg_ready_replicas,min_ready_replicas,max_ready_replicas,replica_change_events,policy_settle_seconds,max_in_flight
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_141121,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_102817,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,16,16,0,0.0,29010.17451286316,37557.22188949585,7069.143652915955,11427.580714225769,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_112252,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_134948,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,16,16,0,0.0,25750.10359287262,27723.653197288513,3358.0846786499023,5733.570575714111,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_111220,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_110115,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,18,16,2,0.1111111111111111,23100.011110305786,28081.953167915344,2209.1575860977173,3917.8847074508667,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_135519,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,16,16,0,0.0,27753.202080726624,37432.49601125717,3618.6752319335938,5870.487034320831,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_141653,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_140550,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_113026,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_140049,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_104826,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,18,18,0,0.0,24895.82061767578,27390.14881849289,3453.681230545044,5650.913786888119,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_110649,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
/users/Torence/llm-kserve-autoscaling/results/policy_study/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_111721,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,15,0,15,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0,45,2
