request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
4shnf877vr,sustained-mixed,completions,1775361442.9239862,1775361473.9237196,30999.73,30999.73,2159,0,140,0,0,
g72oy0ifzn,sustained-mixed,completions,1775361566.9235513,1775361597.298019,30374.47,30374.42,1649,441,70,200,1,
yzycwtiqj7,sustained-mixed,completions,1775361411.9249225,1775361442.9237003,30998.78,30998.78,1179,0,117,0,0,
ki7p5tb948,sustained-mixed,completions,1775361475.923838,1775361506.922996,30999.16,30999.16,1649,0,110,0,0,
ibljh75lxo,sustained-mixed,completions,1775361411.9256551,1775361441.3908358,29465.18,29465.09,1349,487,78,200,1,
phr62gdswm,sustained-mixed,completions,1775361599.923578,1775361630.9242258,31000.65,31000.65,1563,0,177,0,0,
semcikptk9,sustained-mixed,completions,1775361531.9238193,1775361562.9238567,31000.04,31000.04,575,0,118,0,0,
iiuc039tex,sustained-mixed,completions,1775361443.9237735,1775361474.9237773,31000.00,31000.00,1439,0,142,0,0,
h7m35ixokc,sustained-mixed,completions,1775361567.924958,1775361598.924602,30999.64,30999.64,1727,0,120,0,0,
rhocn9j2qp,sustained-mixed,completions,1775361501.5019264,1775361531.9235988,30421.67,30421.67,899,0,168,0,0,
7d5j60fkhm,sustained-mixed,completions,1775361535.9238706,1775361566.9233208,30999.45,30999.45,2015,0,140,0,0,
871yzoyn6q,sustained-mixed,completions,1775361444.9242115,1775361475.9236195,30999.41,30999.41,1199,0,172,0,0,
y4la5ju9bv,sustained-mixed,completions,1775361568.9240856,1775361599.9232986,30999.21,30999.21,1179,0,166,0,0,
hv3a3zmf8m,sustained-mixed,completions,1775361381.7791307,1775361411.9247007,30145.57,30145.57,1949,0,171,0,0,
f0t0pvn9er,sustained-mixed,completions,1775361412.9250536,1775361443.9235594,30998.51,30998.51,899,0,131,0,0,
mmjbqe7ckw,sustained-mixed,completions,1775361382.5809689,1775361412.924828,30343.86,30343.86,1439,0,88,0,0,
ifd0tvbdiv,sustained-mixed,completions,1775361380.977501,1775361411.9244947,30946.99,30946.99,431,0,134,0,0,
j6bw3bme9f,sustained-mixed,completions,1775361536.9244828,1775361567.9247131,31000.23,31000.23,1563,0,189,0,0,
mvihcwi64c,sustained-mixed,completions,1775361471.9240177,1775361501.50176,29577.74,29577.68,1049,503,80,200,1,
vsnujza7tz,sustained-mixed,completions,1775361593.923874,1775361624.927032,31003.16,31003.16,1179,0,175,0,0,
k8ut0cvs4f,sustained-mixed,completions,1775361504.9237547,1775361535.9236267,30999.87,30999.87,899,0,112,0,0,
w2pcn9t84a,sustained-mixed,completions,1775361413.923627,1775361444.9239886,31000.36,31000.36,719,0,103,0,0,
ue8yfbntpb,sustained-mixed,completions,1775361537.9239168,1775361568.9238698,30999.95,30999.95,1949,0,173,0,0,
he7ur23gdp,sustained-mixed,completions,1775361473.9239483,1775361504.9235296,30999.58,30999.58,1199,0,188,0,0,
cxll4zkloo,sustained-mixed,completions,1775361597.298171,1775361627.9267535,30628.58,30628.58,1499,0,174,0,0,
vyie6ivwpv,sustained-mixed,completions,1775361505.924045,1775361536.9242342,31000.19,31000.19,863,0,81,0,0,
zbikcidkwn,sustained-mixed,completions,1775361383.3827512,1775361413.9233832,30540.63,30540.63,1819,0,113,0,0,
1mkfazz81s,sustained-mixed,completions,1775361441.3910127,1775361471.9238622,30532.85,30532.85,1871,0,132,0,0,
yljexq77aw,sustained-mixed,completions,1775361506.9231658,1775361537.9237018,31000.54,31000.54,1051,0,116,0,0,
hid25owf75,sustained-mixed,completions,1775361562.9240856,1775361593.923651,30999.57,30999.57,411,0,155,0,0,
5bxxc02dgt,sustained-mixed,completions,1775361474.9240005,1775361505.9238272,30999.83,30999.83,1649,0,183,0,0,
gxn0guo4kh,sustained-mixed,completions,1775361598.9248226,1775361629.9258158,31000.99,31000.99,1691,0,96,0,0,
