run_dir,model_key,scenario,policy_key,policy_type,requests_total_recorded,requests_ok,requests_failed,error_rate,latency_p50_ms,latency_p95_ms,ttft_p50_ms,ttft_p95_ms,avg_waiting_requests,max_waiting_requests,avg_running_requests,max_running_requests,avg_generation_toks_per_s,max_generation_toks_per_s,avg_kv_cache_usage_perc,max_kv_cache_usage_perc,avg_ready_replicas,min_ready_replicas,max_ready_replicas,replica_change_events,policy_settle_seconds,max_in_flight
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-cache-composite_20260411_093517,qwen25_05b_instruct,scaling-step,keda-token-cache-composite,keda-composite,32,28,4,0.125,72850.92830657959,115853.50868701935,3376.7372369766235,4921.545505523681,0.0,0.0,7.253164556962025,8.0,7.764838255977495,13.377777777777776,0.5554782769972624,0.6959706959706935,1.0379746835443038,1.0,2.0,1,45,8
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-aware_20260411_162941,qwen25_05b_instruct,scaling-step,keda-token-aware,keda-prometheus,40,40,0,0.0,36656.984090805054,48712.85545825958,2651.484489440918,4300.437927246094,0.0,0.0,3.5949367088607596,4.0,9.087060478199717,10.933333333333332,0.344507812862242,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-aware_20260411_161138,qwen25_05b_instruct,scaling-step,keda-token-aware,keda-prometheus,40,40,0,0.0,36450.50060749054,48309.28918123245,2690.0997161865234,4415.782940387726,0.0,0.0,3.848101265822785,4.0,9.261322081575244,11.111111111111109,0.37093707979783797,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-aware_20260411_132651,qwen25_05b_instruct,scaling-step,keda-token-aware,keda-prometheus,39,39,0,0.0,36899.64318275452,48569.60971355439,2799.797296524048,4292.548823356628,0.0,0.0,3.5316455696202533,4.0,9.127707454289732,10.91111111111111,0.31715120322715146,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-waiting-requests_20260411_190341,qwen25_05b_instruct,scaling-step,keda-waiting-requests,keda-prometheus,39,39,0,0.0,38500.213623046875,48588.73758316041,2796.2872982025146,4594.509506225586,0.0,0.0,3.5569620253164556,4.0,8.882841068917017,10.91111111111111,0.3352343858672961,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-aware_20260411_152401,qwen25_05b_instruct,scaling-step,keda-token-aware,keda-prometheus,40,40,0,0.0,37559.077501297,48924.750328063965,2722.378373146057,4331.281495094299,0.0,0.0,3.7341772151898733,4.0,9.056680731364274,10.999999999999998,0.3435804701627474,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-waiting-requests_20260411_191952,qwen25_05b_instruct,scaling-step,keda-waiting-requests,keda-prometheus,40,40,0,0.0,37250.77736377716,48816.96888208389,2701.7024755477905,4307.620215415955,0.0,0.0,3.670886075949367,4.0,9.091420534458509,11.355555555555554,0.35007186905920956,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/hpa-cpu-baseline_20260411_095014,qwen25_05b_instruct,scaling-step,hpa-cpu-baseline,hpa,33,29,4,0.12121212121212122,69872.29013442993,104553.22904586792,3005.6912899017334,4209.66329574585,0.0,0.0,7.544303797468355,8.0,8.084106891701827,13.62222222222222,0.6343024064543029,0.805860805860803,1.0,1.0,1.0,0,45,8
results/policy_eval/qwen25_05b_instruct/scaling-step/hpa-cpu-baseline_20260411_085837,qwen25_05b_instruct,scaling-step,hpa-cpu-baseline,hpa,32,32,0,0.0,40893.29779148102,72692.52359867094,2708.580732345581,4700.620424747467,0.0,0.0,3.911392405063291,9.0,7.605063291139239,11.088888888888887,0.33708907126628523,0.7692307692307665,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-waiting-requests_20260411_184920,qwen25_05b_instruct,scaling-step,keda-waiting-requests,keda-prometheus,40,40,0,0.0,37792.87612438202,48671.09043598175,2554.97670173645,4217.216265201569,0.0,0.0,3.5443037974683542,4.0,8.985654008438818,11.466666666666665,0.32086057402512985,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-waiting-requests_20260411_171422,qwen25_05b_instruct,scaling-step,keda-waiting-requests,keda-prometheus,40,40,0,0.0,36105.7151556015,48038.4575009346,2724.6090173721313,4297.713732719421,0.0,0.0,3.670886075949367,4.0,9.272292545710267,11.266666666666666,0.35980896740390284,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-waiting-requests_20260411_165826,qwen25_05b_instruct,scaling-step,keda-waiting-requests,keda-prometheus,40,40,0,0.0,37197.87049293518,48700.31449794769,2669.4986820220947,4298.127615451813,0.0,0.0,3.670886075949367,4.0,9.01237693389592,10.999999999999998,0.33987109936476906,0.659340659340657,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-cache-composite_20260411_130926,qwen25_05b_instruct,scaling-step,keda-token-cache-composite,keda-composite,31,31,0,0.0,45957.23295211792,74250.2897977829,2900.057315826416,4996.297121047974,0.0,0.0,4.0,8.0,7.234880450070323,10.844444444444443,0.349144526359715,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-waiting-requests_20260411_133515,qwen25_05b_instruct,scaling-step,keda-waiting-requests,keda-prometheus,40,40,0,0.0,36910.40349006653,49121.63815498352,2697.975993156433,4400.916516780853,0.0,0.0,3.5949367088607596,4.0,9.135583684950772,10.733333333333333,0.3333797004683069,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-cache-composite_20260411_081551,qwen25_05b_instruct,scaling-step,keda-token-cache-composite,keda-composite,32,32,0,0.0,43045.97330093384,67745.51833868027,2916.851282119751,4317.530059814453,0.0,0.0,3.7721518987341773,4.0,7.351476793248945,11.62222222222222,0.2816803449714832,0.439560439560438,1.2784810126582278,1.0,2.0,1,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/hpa-cpu-baseline_20260411_140949,qwen25_05b_instruct,scaling-step,hpa-cpu-baseline,hpa,32,32,0,0.0,39130.04910945892,73423.04192781448,2729.8953533172607,4638.23664188385,0.0,0.0,3.7088607594936707,4.0,7.752742616033754,11.266666666666666,0.3338433718180542,0.659340659340657,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-aware_20260411_154914,qwen25_05b_instruct,scaling-step,keda-token-aware,keda-prometheus,40,40,0,0.0,37701.698780059814,49022.378051280975,2785.719871520996,4507.693767547607,0.0,0.0,3.518987341772152,4.0,8.981434599156117,11.155555555555555,0.3292066583205812,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/scaling-step/keda-token-aware_20260411_150914,qwen25_05b_instruct,scaling-step,keda-token-aware,keda-prometheus,41,41,0,0.0,35180.96446990967,47697.22247123718,2600.879907608032,4401.715993881226,0.0,0.0,3.6962025316455698,4.0,9.481715893108298,11.533333333333331,0.3509992117587042,0.73260073260073,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260411_223100,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,24,24,0,0.0,37287.01329231262,67532.37841129303,4465.901255607605,12230.312752723685,0.0,0.0,3.3934426229508197,4.0,7.436429872495445,12.088888888888889,0.2816309373686413,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260411_220925,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,28,28,0,0.0,36444.183230400085,60105.06293773651,4293.253779411316,7898.306918144226,0.0,0.0,3.459016393442623,4.0,8.6327868852459,11.91111111111111,0.3014471866930873,0.659340659340657,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260411_222410,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,22,22,0,0.0,37213.96803855896,68461.61688566208,4347.160577774048,9510.688960552214,0.0,0.0,3.7704918032786887,4.0,6.976320582877959,11.999999999999998,0.30745211073079814,0.4761904761904745,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_193015,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,24,20,4,0.16666666666666666,35743.80087852478,56408.73399972916,3699.307680130005,7469.153916835785,0.0,0.0,3.6885245901639343,5.0,7.567577413479052,11.91111111111111,0.30324866390440053,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_183653,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,24,22,2,0.08333333333333333,35344.9045419693,60044.3944811821,4046.1978912353516,9151.86456441879,0.0,0.0,3.6557377049180326,4.0,7.722768670309653,12.088888888888887,0.30054644808743064,0.4029304029304015,1.0819672131147542,1.0,2.0,1,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-aware_20260413_092647,qwen25_05b_instruct,conversation-sharegpt,keda-token-aware,keda-prometheus,28,28,0,0.0,39039.34609889984,46030.522525310516,4819.847941398621,8980.691766738892,0.0,0.0,3.3934426229508197,4.0,8.53479052823315,11.111111111111109,0.27922896775355693,0.4029304029304015,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_190354,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,24,20,4,0.16666666666666666,36948.55725765228,39992.50404834747,4090.1137590408325,7319.26109790802,0.0,0.0,3.7540983606557377,6.0,7.914389799635701,11.91111111111111,0.3050501411157138,0.4761904761904745,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_184953,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,24,24,0,0.0,45164.08717632294,58347.34932184219,4181.295871734619,8872.316312789915,0.0,0.0,3.4918032786885247,4.0,7.236794171220399,10.577777777777776,0.2885366000120088,0.4029304029304015,1.0655737704918034,1.0,2.0,1,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_175654,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,24,24,0,0.0,43396.49963378906,60151.31660699844,4279.716491699219,9183.18806886673,0.0,0.0,3.459016393442623,4.0,7.1497267759562835,10.666666666666666,0.2404972077103216,0.439560439560438,1.3770491803278688,1.0,2.0,1,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_174139,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,37,0,37,1.0,,,,,0.0,0.0,3.0,3.0,0.0,0.0,0.2564102564102555,0.2564102564102555,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-waiting-requests_20260412_231552,qwen25_05b_instruct,conversation-sharegpt,keda-waiting-requests,keda-prometheus,32,32,0,0.0,37104.74944114685,40922.684705257416,4448.349833488464,9215.291512012482,0.0,0.0,3.459016393442623,4.0,9.018579234972677,11.822222222222221,0.2972437398666896,0.4029304029304015,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_191613,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,28,26,2,0.07142857142857142,35860.91077327728,54631.21032714844,4451.021313667297,7597.117841243744,0.0,0.0,3.557377049180328,4.0,8.492167577413477,11.999999999999998,0.29424127784783416,0.4761904761904745,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_195427,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,28,24,4,0.14285714285714285,36501.48808956146,40292.664992809296,4049.1873025894165,8036.669039726256,0.0,0.0,3.557377049180328,4.0,8.44335154826958,11.822222222222221,0.299645709481774,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-aware_20260412_232834,qwen25_05b_instruct,conversation-sharegpt,keda-token-aware,keda-prometheus,28,28,0,0.0,38698.5182762146,47388.81616592407,4197.48318195343,9227.335393428802,0.0,0.0,3.4754098360655736,4.0,8.472131147540983,10.933333333333332,0.28943733861766546,0.4029304029304015,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-aware_20260413_214617,qwen25_05b_instruct,conversation-sharegpt,keda-token-aware,keda-prometheus,80,80,0,0.0,62059.31615829468,86307.65870809555,9212.655544281006,17191.820895671844,,,,,,,,,1.0,1.0,1.0,0,20,8
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-aware_20260412_235305,qwen25_05b_instruct,conversation-sharegpt,keda-token-aware,keda-prometheus,28,28,0,0.0,40055.323123931885,47705.51624298096,4782.645702362061,9289.787137508392,0.0,0.0,3.459016393442623,4.0,8.19672131147541,11.02222222222222,0.2912388158289787,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-aware_20260413_073828,qwen25_05b_instruct,conversation-sharegpt,keda-token-aware,keda-prometheus,30,30,0,0.0,37357.08403587341,40562.384831905365,4547.125220298767,9262.33777999878,0.0,0.0,3.4918032786885247,4.0,9.004553734061929,12.088888888888887,0.2816309373686413,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_202001,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,28,24,4,0.14285714285714285,37691.577315330505,50220.19132375717,4491.541028022766,8014.184069633482,0.0,0.0,3.5081967213114753,4.0,8.142440801457195,11.733333333333333,0.29604275505914746,0.4029304029304015,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-waiting-requests_20260413_213311,qwen25_05b_instruct,conversation-sharegpt,keda-waiting-requests,keda-prometheus,72,72,0,0.0,74492.20395088196,109091.51254892349,9608.082175254822,16990.01898765564,,,,,,,,,1.0,1.0,1.0,0,20,8
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_192332,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,28,20,8,0.2857142857142857,33502.49242782593,40908.89307260513,3680.1576614379883,7279.294574260712,0.0,0.0,3.459016393442623,4.0,8.069763205828778,12.62222222222222,0.29003783102143654,0.4761904761904745,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-aware_20260413_001211,qwen25_05b_instruct,conversation-sharegpt,keda-token-aware,keda-prometheus,28,28,0,0.0,39501.1260509491,43210.21720170975,4639.026045799255,9287.441217899323,0.0,0.0,3.459016393442623,4.0,8.473224043715845,11.288888888888888,0.28523389179126785,0.4761904761904745,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_182510,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,24,24,0,0.0,44854.07567024231,57965.29771089554,4342.021584510803,8634.189486503601,0.0,0.0,3.5245901639344264,4.0,7.126775956284153,9.777777777777777,0.29664324746291854,0.439560439560438,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/keda-token-cache-composite_20260410_180847,qwen25_05b_instruct,conversation-sharegpt,keda-token-cache-composite,keda-composite,37,0,37,1.0,,,,,0.0,0.0,4.0,4.0,0.0,0.0,0.293040293040292,0.293040293040292,1.0,1.0,1.0,0,45,4
results/policy_eval/qwen25_05b_instruct/conversation-sharegpt/hpa-cpu-baseline_20260410_214632,qwen25_05b_instruct,conversation-sharegpt,hpa-cpu-baseline,hpa,28,24,4,0.14285714285714285,36746.161222457886,41366.43146276474,4169.446587562561,7929.280161857604,0.0,0.0,3.6721311475409837,6.0,8.480510018214936,11.91111111111111,0.29844472467423183,0.439560439560438,1.0,1.0,1.0,0,45,4
