request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
5nq4fmyzyc,queue-pressure,warmup,completions,1776178237.2136965,1776178537.096939,299883.24,3277.42,14795,1282,251,200,1,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776178247.1778834,1776178479.3889596,232211.08,3413.57,14637,1020,200,200,1,
uzzpqk51fp,queue-pressure,warmup,completions,1776178222.1797013,1776178436.9983466,214818.65,2409.46,12583,1012,198,200,1,
ye511mkfaz,queue-pressure,queue_build,completions,1776178449.9787538,1776178679.5055647,229526.81,3990.33,15269,988,194,200,1,
ckw5ngcx19,queue-pressure,warmup,completions,1776178232.2031245,1776178532.9201877,300717.06,300717.06,15111,0,288,0,0,
vren93iiuc,queue-pressure,queue_build,completions,1776178490.5848281,1776178720.6944191,230109.59,5405.37,15427,978,192,200,1,
f0t0pvn9er,queue-pressure,queue_build,completions,1776178247.9837043,1776178548.9200885,300936.38,300936.38,10371,0,259,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776178217.1694863,1776178449.978107,232808.62,2620.01,13373,1124,220,200,1,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776178436.9988773,1776178680.7815387,243782.66,5195.05,14163,1040,204,200,1,
tiqj7yhl1c,queue-pressure,warmup,completions,1776178242.2237158,1776178519.872177,277648.46,3553.85,13373,1198,235,200,1,
h1dnmmjbqe,queue-pressure,warmup,completions,1776178227.1901875,1776178490.5845406,263394.35,2385.73,11319,1178,231,200,1,
