request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
ckw5ngcx19,queue-pressure,warmup,completions,1776178839.2093875,1776179139.9215705,300712.18,300712.18,15111,0,288,0,0,
5nq4fmyzyc,queue-pressure,warmup,completions,1776178844.221471,1776179144.9214268,300699.96,300699.96,14795,0,251,0,0,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776178854.1835246,1776179098.078917,243895.39,3886.11,14637,1020,200,200,1,
ye511mkfaz,queue-pressure,queue_build,completions,1776179074.698878,1776179340.2063096,265507.43,3497.62,15269,988,194,200,1,
uzzpqk51fp,queue-pressure,warmup,completions,1776178829.1847823,1776179061.6857085,232500.93,2288.34,12583,1012,198,200,1,
f0t0pvn9er,queue-pressure,queue_build,completions,1776178854.9899824,1776179155.9192376,300929.26,300929.26,10371,0,259,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776178824.176178,1776179074.6986558,250522.48,2409.16,13373,1124,220,200,1,
tiqj7yhl1c,queue-pressure,warmup,completions,1776178849.2304165,1776179140.196648,290966.23,4040.09,13373,1198,235,200,1,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776179061.686783,1776179341.293808,279607.02,4893.89,14163,1040,204,200,1,
h1dnmmjbqe,queue-pressure,warmup,completions,1776178834.1967826,1776179115.6965165,281499.73,2902.59,11319,1178,231,200,1,
