request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
5nq4fmyzyc,queue-pressure,warmup,completions,1776180067.9436116,1776180364.2831903,296339.58,4230.38,14795,1282,251,200,1,
2oc6uzhr5x,queue-pressure,queue_build,completions,1776180077.9099123,1776180307.4496078,229539.70,3871.05,14637,1020,200,200,1,
ye511mkfaz,queue-pressure,queue_build,completions,1776180290.0794702,1776180513.5871847,223507.71,4206.43,15269,988,194,200,1,
uzzpqk51fp,queue-pressure,warmup,completions,1776180052.9133766,1776180276.3962615,223482.88,2036.30,12583,1012,198,200,1,
ckw5ngcx19,queue-pressure,warmup,completions,1776180062.932271,1776180363.920559,300988.29,300988.29,15111,0,288,0,0,
vren93iiuc,queue-pressure,queue_build,completions,1776180327.169694,1776180546.869568,219699.87,4624.92,15427,978,192,200,1,
f0t0pvn9er,queue-pressure,queue_build,completions,1776180078.7159696,1776180378.9202554,300204.29,300204.29,10371,0,259,0,0,
aji0y6dpbh,queue-pressure,warmup,completions,1776180047.9045641,1776180290.0793319,242174.77,2273.48,13373,1124,220,200,1,
4ffyvnvqjt,queue-pressure,queue_build,completions,1776180276.3970325,1776180513.5865073,237189.47,5297.90,14163,1040,204,200,1,
tiqj7yhl1c,queue-pressure,warmup,completions,1776180072.9537446,1776180346.3944957,273440.75,3602.63,13373,1198,235,200,1,
h1dnmmjbqe,queue-pressure,warmup,completions,1776180057.9209456,1776180327.169457,269248.51,2661.14,11319,1178,231,200,1,
