LAST SEEN   TYPE      REASON                OBJECT                                                                       MESSAGE
51m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Stopped scalers watch
51m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Scaler prometheus is built
51m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 2
51m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  ScaledObject was deleted
51m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
51m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n
51m         Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                                     Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
51m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n to kserve-control-plane
51m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Started container storage-initializer
51m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Created container: storage-initializer
51m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n                             Stopping container storage-initializer
51m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-2pj9n
51m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 2 to 1
51m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
51m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9 from 1 to 0
51m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9-cmfdz            Stopping container main
51m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
51m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9           Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-669cb584c9-cmfdz
51m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-c498cd7f8 from 0 to 1
