LAST SEEN   TYPE      REASON                OBJECT                                                                       MESSAGE
23m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Secret llm-demo/qwen25-0-5b-instruct-kserve-self-signed-certs
49m         Warning   Error                 llminferenceservice/qwen25-0-5b-instruct                                     Reconciliation failed: failed to reconcile workload: failed to reconcile single node workload: failed to reconcile main workload: failed to get defaults for v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve: Operation cannot be fulfilled on deployments.apps "qwen25-0-5b-instruct-kserve": the object has been modified; please apply your changes to the latest version and try again
23m         Normal    Updated               llminferenceservice/qwen25-0-5b-instruct                                     Updated v1.Deployment llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler
51m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-aware                            Scaler prometheus is built
24m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled down replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 2 to 1
51m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-665bf8f748-svgtd                             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-665bf8f748-svgtd to kserve-control-plane
24m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve                                       Scaled up replica set qwen25-0-5b-instruct-kserve-665bf8f748 from 1 to 2
51m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Created pod: qwen25-0-5b-instruct-kserve-665bf8f748-svgtd
51m         Warning   ScaledObjectDeleted   scaledobject/qwen25-05b-instruct-keda-token-aware                            ScaledObject was deleted
51m         Normal    KEDAScalersStopped    scaledobject/qwen25-05b-instruct-keda-token-aware                            Stopped scalers watch
51m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-665bf8f748-svgtd                             Created container: storage-initializer
51m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-665bf8f748-svgtd                             Container image "kserve/storage-initializer:v0.17.0" already present on machine
51m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-665bf8f748-svgtd                             Started container storage-initializer
51m         Normal    ScaledObjectReady     scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  ScaledObject is ready for scaling
24m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Scaler prometheus is built
51m         Normal    KEDAScalersStarted    scaledobject/qwen25-05b-instruct-keda-token-cache-composite                  Started scalers watch
51m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-665bf8f748                            Deleted pod: qwen25-0-5b-instruct-kserve-665bf8f748-svgtd
51m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-665bf8f748-svgtd                             Stopping container storage-initializer
51m         Normal    Scheduled             pod/qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79-zrtgr             Successfully assigned llm-demo/qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79-zrtgr to kserve-control-plane
51m         Normal    SuccessfulCreate      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79            Created pod: qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79-zrtgr
51m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled down replica set qwen25-0-5b-instruct-kserve-router-scheduler-7f8fdf7d7b from 1 to 0
51m         Normal    Killing               pod/qwen25-0-5b-instruct-kserve-router-scheduler-7f8fdf7d7b-jw4fm            Stopping container main
51m         Normal    SuccessfulDelete      replicaset/qwen25-0-5b-instruct-kserve-router-scheduler-7f8fdf7d7b           Deleted pod: qwen25-0-5b-instruct-kserve-router-scheduler-7f8fdf7d7b-jw4fm
51m         Normal    ScalingReplicaSet     deployment/qwen25-0-5b-instruct-kserve-router-scheduler                      Scaled up replica set qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79 from 0 to 1
51m         Normal    Pulled                pod/qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79-zrtgr             Container image "ghcr.io/llm-d/llm-d-inference-scheduler:v0.4.0" already present on machine
51m         Normal    Created               pod/qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79-zrtgr             Created container: main
51m         Normal    Started               pod/qwen25-0-5b-instruct-kserve-router-scheduler-98d64cf79-zrtgr             Started container main
